🏻 tip 1–2, ton ċar tal-ġilda, ton tal-ġilda
😼 imqarras, ironiku, jitbissem, qattus, wiċċ, wiċċ ta’ qattus bi tbissima mqarrsa
😽 bewsa, għajn, qattus, wiċċ, wiċċ ta’ qattus ibewwes b’għajnejn magħluqin
🙀 għajjien, mistgħaġeb, oh, qattus, wiċċ, wiċċ ta’ qattus għajjien
😿 dmugħ, imdejjaq, jibki, qattus, wiċċ, wiċċ ta’ qattus jibki
😾 jisporġi x-xofftejn, qattus, wiċċ, wiċċ ta’ qattus jisporġi x-xofftejn
🙈 ara, ġesti, ħażen, ma, mhux, pprojbit, pprojbiti, wiċċ, xadina, xadina li ma tara ebda ħażen
🙉 ġesti, ħażen, isma’, ma, mhux, pprojbit, pprojbiti, wiċċ, xadina, xadina li ma tisma’ ebda ħażen
🙊 ġesti, ħażen, ma, mhux, pprojbit, pprojbiti, tkellem, wiċċ, xadina, xadina li ma titkellem ebda ħażen
💋 bews, marka ta’ bewsa, xofftejn
💌 imħabba, ittra, ittra ta’ mħabba, posta, qalb
💘 kupidu, qalb bi vleġġa, vleġġa
💝 qalb b’ċoff, valentinu, żigarella
💖 eċċitat, qalb tfexfex, tfexfex
💗 eċċitat, nervuża, polz, qalb tikber, tkabbir
💓 qalb tħabbat, taħbita tal-qalb, tħabbat
💞 iduru, qlub iduru
💕 imħabba, żewġt iqlub
💟 dekorazzjoni ta’ qalb, qalb
❣ esklamazzjoni, esklamazzjoni ta’ qalb miġugħa, marka, punteġġjatura
💔 kisser, maqsuma, qalb maqsuma
❤ qalb, qalb ħamra
🧡 oranġjo, qalb oranġjo
💛 isfar, qalb safra
💚 aħdar, qalb ħadra
💙 blu, qalb blu
💜 qalb vjola, vjola
🖤 ħażen, ħażin, iswed, qalb sewda
💯 100, mija, mitt punt, punteġġ, sħiħ
💢 irrabjat, irrabjat ħafna, komiku, simbolu ta’ rabja
💥 boom, ħabta, komiku
💫 kewkba, komiku, stordut
💦 għaraq, komiku, qed itajjar, qtar tal-għaraq
💨 jaħrab ’l hemm, komiku, qed jiġri, sing
🕳 toqba
💣 bomba, komiku
💬 buzzieqa, bużżieqa, bużżieqa tad-diskors, djalogu, komik, taħdit
👁‍🗨 bużżieqa tad-diskors, għajn, għajnejn f’bużżieqa tad-diskors, xhud
🗨 bużżieqa tad-diskors fuq ix-xellug, diskors, djalogu
🗯 buzzieqa, bużżieqa, bużżieqa ta’ rabja fuq il-lemin, irrabjat, irrabjat ħafna
💭 bużżieqa, bużżieqa tal-ħsibijiet, djalogu, komiku, taħdit
💤 irqad, komiku, zzz
👋 id, id ixxejjer, qed ixejjer, xejjer
🤚 id minn wara, id minn wara mgħollija, mgħollija
🖐 id, id mgħollija bl-iswaba’ mfettħa, mfettħa, suba’
✋ id, id mgħollija
🖖 id, salut ta’ vulcan, spock, suba’, vulcan
👌 id, OK
✌ id, id tar-rebħa, rebħa, v
🤞 bl-idejn, inkroċja, subgħa, swaba nkroċjati, xorti
🤟 ġest ta’ mħabba, id, ILY
🤘 id, qrun, rock-on, sinjal tal-qrun, suba’
🤙 id, id ċempilli, sejħa
👈 b’lura, idejn, indiċi, indiċi b’lura iipponta lejn ix-xellug, punt, suba’
👉 b’lura, idejn, indiċi, indiċi b’lura li jipponta lejn il-lemin, punt, suba’
👆 ’l fuq, id, indiċ, indiċi b’lura, indiċi b’lura li jipponta ’l fuq, ipponta, suba’
🖕 id, suba’, suba’ tan-nofs
👇 ’l isfel, id, indiċi, indiċi b’lura, indiċi b’lura li jipponta ’l isfel, punt, suba’
☝ ’l fuq, id, indiċi, indiċi li jipponta ’l fuq, ipponta, suba’
👍 ’il fuq, +1, behem, behem ’il fuq, id
👎 -1, ’l isfel, behem, behem ’l isfel, id
✊ daqqa ta’ ponn, ħafen, id, ponn, ponn mgħolli
👊 daqqa ta’ ponn, ħafen, id, ponn, ponn dieħel
🤛 l-ewwel, lejn ix-xellug, ponn iħares lejn ix-xellug
🤜 l-ewwel, lejn il-lemin, ponn iħares lemin
👏 ċapċap, id, idejn iċapċpu
🙌 bl-idejn, ċelebrazzjoni, ġesti, hooray, idejn mgħollija, mgħollija
👐 id, idejn miftuħa, miftuħa
🤲 pali tal-idejn flimkien, talb
🤝 b’idejn, ftehim, handshake, ħu, ħu bl-idejn, laqgħa
🙏 bl-idejn, ġesti, grazzi, idejn magħluqa, inkina, jekk jogħġbok, jitolbu, magħluqa, Staqsi
✍ id, id li tikteb biha, tikteb
💅 dwiefer, kosmetiċi, kura, manicure, nail polish, polish
🤳 kamera, stessu, telefown
💪 biceps, biceps bil-muskoli, flex, komiku, muskoli
👂 ġisem, widna
👃 ġisem, imnieħer
🧠 intelliġenti, moħħ
👀 għajn, għajnejn, wiċċ
👁 għajn
👅 ilsien
👄 ħalq, xufftejn
👶 tarbija
🧒 newtrali fil-ġeneru, tfal, żgħażagħ
👦 tifel, żagħżugħ
👧 tifla, Virgo, żgħażagħ, żodjaku
🧑 adult, newtrali fil-ġeneru
👱 persuna b’xagħar isfar, xagħara isfar
👨 raġel
🧔 baffi, persuna bil-baffi
👱‍♂ raġel, raġel b’xagħar isfar, xagħar isfar
👩 mara
👱‍♀ mara, mara b’xagħar isfar, xagħar isfar
🧓 adulti anzjan, anzjan, newtrali fil-ġeneru
👴 raġel, xiħ
👵 mara, xiħa
🙍 ġesti, persuna titkerrah, titkerrah
🙍‍♂ ġesti, jitkerrah, raġel
🙍‍♀ ġesti, mara, titkerrah
🙎 ġesti, jisporġi x-xofftejn, persuna tisporġi x-xofftejn
🙎‍♂ ġesti, jisporġi x-xofftejn, raġel, raġel jisporġi x-xofftejn
🙎‍♀ ġesti, mara, mara tisporġi x-xofftejn, tisporġi x-xofftejn
🙅 bl-idejn, ġesti, ma, mhux, persuna tagħmel sinjal ta’ LE, pprojbiti, projbit
🙅‍♂ bl-idejn, ġesti, mhux, pprojbiti, projbit, raġel, raġel jagħmel sinjal ta’ LE
🙅‍♀ bl-idejn, ġesti, mara, mara tagħmel sinjal ta’ LE, mhux, pprojbiti, projbit
🙆 bl-idejn, ġesti, OK, persuna tagħmel sinjal ta’ OK
🙆‍♂ bl-idejn, ġesti, OK, raġel, raġel jagħmel sinjal ta’ OK
🙆‍♀ bl-idejn, ġesti, mara, mara tagħmel sinjal ta’ OK, OK
💁 għajnuna, idha, l-informazzjoni, persuna tbaxxi idha, tbaxxi, tost
💁‍♂ raġel, raġel ibaxxi idejh, tbaxxija tal-idejn, tost
💁‍♀ mara, mara tbaxxi idha, tbaxxija tal-idejn, tost
🙋 bl-idejn, ġesti, għolli, kuntentizza, persuna tgħolli idha
🙋‍♂ ġesti, jgħolli l-idejn, raġel, raġel jgħolli idejh
🙋‍♀ ġesti, għolli l-idejn, mara, mara tgħolli idha
🙇 apoloġija, ġesti, inkina, jiddispjaċina, persuna tinkina
🙇‍♂ apoloġija, favur, ġesti, inkina, jiddispjaċih, raġel jikina, reġel
🙇‍♀ apoloġija, favur, ġesti, inkina, jiddispjaċih, mara, mara tikina
🤦 eżasperazzjoni, ma jitwemminx, pala, persuna tagħmel facepalm, wiċċ
🤦‍♂ eżasperazzjoni, facepalm, ma jitwemminx, raġel, raġel jagħmel facepalming
🤦‍♀ eżasperazzjoni, facepalm, ma jitwemminx, mara, mara tagħmel facepalming
🤷 dubju, indifferenza, injoranza, persuna xxengel spallejha, xengel spallejn
🤷‍♂ dubju, għolli spallejn, indifferenzi, injoranza, raġel, raġel ixengel spallejh
🤷‍♀ dubju, għolli spallejn, indifferenzi, injoranza, mara, mara xxengel spallejha
👨‍⚕ bniedem, ħaddiem fil-kura tal-bniedem, infermiera, kura tas-saħħa, tabib, terapista
👩‍⚕ infermiera, kura tas-saħħa, mara, mara fil-kura tas-saħħa, tabib, terapista
👨‍🎓 gradwat, raġel, student, student maskil
👩‍🎓 gradwat, mara, student, student femminil
👨‍🏫 għalliem, professur, raġel
👩‍🏫 għalliem, għalliema, mara, professur
👨‍⚖ ġustizzja, imħallef maskil, miżien, raġel
👩‍⚖ imħallef, mara, miżien
👨‍🌾 bidwi, bidwi maskil, ġardinar, raġel, raħħal
👩‍🌾 bidwi, bidwi femminil, ġardinar, mara, raħħal
👨‍🍳 chef, kok, kok maskil, raġel
👩‍🍳 chef, kok, kok femminil, mara
👨‍🔧 electrician, ħaddiem tas-sengħa, mekkanik, mekkanik maskili, plumber, raġel
👩‍🔧 electrician, ħaddiem tas-sengħa, mara, mekkanik, plumber
👨‍🏭 assemblaġġ, fabbrika, ħaddiem, ħaddiem tal-fabbrika, industrijali, raġel
👩‍🏭 assemblaġġ, fabbrika, ħaddiem, ħaddiema tal-fabbrika, industrijali, mara
👨‍💼 ħaddiema professjonali, maniġer, negozju, perit, raġel, raġel jaħdem f’uffiċċju, uffiċċju
👩‍💼 ħaddiema professjonali, maniġer, mara, mara taħdem f’uffiċċju, negozju, perit, uffiċċju
👨‍🔬 bijologu, fiżiċist, inġiniera, matematiku, raġel, spiżjar, xjenzat, xjenzat maskili
👩‍🔬 bijologu, fiżiċist, inġinier, mara, matematiku, spiżjar, xjenzat, xjenzata mara
👨‍💻 inventur, kodifikatur, raġel, softwer, teknoloġist, teknoloġist maskili, żviluppatur
👩‍💻 coder, inventur, mara, softwer, teknoloġist, teknoloġist femminili, żviluppatur
👨‍🎤 attur, entertainer, kantant, kantant maskili, raġel, rock, star
👩‍🎤 attur, entertainer, kantant, katant femminil, mara, rock, star
👨‍🎨 artist, artist maskili, paletta, raġel
👩‍🎨 artist, artist femminil, mara, tavlozza
👨‍✈ ajruplan, pilota, pilota tal-bniedem, raġel
👩‍✈ ajruplan, mara, pilota
👨‍🚀 astronawt, astronawt maskil, raġel, rokit
👩‍🚀 astronawt, astronawta mara, mara, rokit
👨‍🚒 ħaddiem tat-tifi tan-nar, ħaddiem tat-tifi tan-nar maskil, raġel, vettura tat-tifi tan-nar
👩‍🚒 ħaddiem tat-tifi tan-nar, ħaddiem tat-tifi tan-nar femminil, mara, vettura tat-tifi tan-nar
👮 pulizija, tal-pulizija, uffiċjal
👮‍♂ pulizija, raġel, tal-pulizija, uffiċjal
👮‍♀ mara, pulizija, tal-pulizija, uffiċjal
🕵 ditektiv, spija
🕵‍♂ ditektiv, raġel, spija
🕵‍♀ ditektiv, mara, spija
💂 gwardjan
💂‍♂ gwardjan, raġel
💂‍♀ gwardjan, mara
👷 ħaddiem, ħaddiem tal-kostruzzjoni, kappell, kostruzzjoni
👷‍♂ ħaddiem, ħaddiem tal-kostruzzjoni maskili, kostruzzjoni, raġel
👷‍♀ ħaddiem, ħaddiem tal-kostruzzjoni femminili, kostruzzjoni, mara
🤴 prinċep
👸 fantasija, ħrafa, prinċipessa
👳 persuna liebsa turban, turban
👳‍♂ raġel, raġel liebes turban, turban
👳‍♀ mara, mara liebsa turban, turban
👲 gua pi mao, kappell, raġel, raġel b’kappell Ċiniż
🧕 hijab, mantilla, mara b’velu, tichel, velu
🤵 għarus, raġel, raġel b’tuxedo, tuxedo
👰 għarusa, għarusa b’velu, velu, żwieġ
🤰 mara, tqila
🤱 irdigħ, sider, tarbija, treddigħ
👼 anġlu, fantasija, ħrafa, tarbija, wiċċ
🎅 ċelebarazzjoni, klaws, Milied, missier, santa, Santa Klaws
🤶 ċelebarazzjoni, il-Milied, Is-Sinjura, Klaws, omm
🧙 magu, saħħar, saħħara
🧙‍♂ assistent, raġel magu, saħħar
🧙‍♀ mara magu, saħħar, saħħara
🧚 fatatina, Oberon, Puck, Titania
🧚‍♂ fatat maskil, Oberon, Puck
🧚‍♀ fatat femminil, Titania
🧛 Dracula, qam mil-mewt, vampira
🧛‍♂ Dracula, qam mil-mewt, raġel vampira
🧛‍♀ mara vampira, qam mil-mewt
🧜 merman, merperson, merwoman, serena
🧜‍♂ merman, Triton
🧜‍♀ merwoman, serena
🧝 għafrit, maġiku
🧝‍♂ għafrit raġel, maġiku
🧝‍♀ għafrit mara, maġiku
🧞 djinn, ġenju
🧞‍♂ djinn, ġenju raġel
🧞‍♀ djinn, ġenju mara
🧟 mejtin jimxu, qam mil-mewt, żombi
🧟‍♂ mejtin jimxu, qam mil-mewt, raġel żombi
🧟‍♀ mara żombi, mejtin jimxu, qam mil-mewt
💆 massaġġi, persuna tingħata massaġġ, salon, wiċċ
💆‍♂ massaġġi, raġel, raġel jingħata massaġġ, wiċċ
💆‍♀ mara, mara tingħata massaġġ, massaġġi, wiċċ
💇 ħanut, parrukkier, persuna taqta’ xagħarha, qatgħa xagħar, tas-sbuħija
💇‍♂ qatgħa xagħar, raġel, raġel jaqta’ xagħaru
💇‍♀ mara, mara taqta’ xagħarha, qatgħa xagħar
🚶 bil-mixi, ħajk, mixja, persuna timxi
🚶‍♂ ħajk, mixja, raġel, raġel miexi
🚶‍♀ ħajk, mara, mara miexja, mixja
🏃 maratona, persuna tiġri, qed jiġri
🏃‍♂ maratona, qed ittellaq, qed jiġri, raġel, raġel qed jiġri
🏃‍♀ mara, mara qed tiġri, maratona, qed ittellaq, qed tiġri
💃 mara, tiżfen
🕺 jiżfen, raġel
🕴 libsa, negozju, raġel, raġel jillevita b’libsa ta’ negozju
👯 jiddevertu, persuni b’widnejn ta’ fenek jiddevertu, widnejn ta’ fenek, żeffien
👯‍♂ jiddevertu, rġiel, rġiel b’widnejn ta’ fenek jiddevertu, widnejn ta’ fenek, żeffien
👯‍♀ jiddevertu, nisa, nisa b’widnejn ta’ fenek jiddevertu, widnejn ta’ fenek, żeffien
🧖 kamra tal-fwar, persuna f’kamra tal-fwar, sawna
🧖‍♂ kamra tal-fwar, raġel f’kamra tal-fwar, sawna
🧖‍♀ kamra tal-fwar, mara f’kamra tal-fwar, sawna
🧗 persuna li titla’, persuna tiela’
🧗‍♂ persuna li titla’, raġel tiela’
🧗‍♀ mara tiela’, persuna li titla’
🤺 fencer, fencing, persuna fencing, xabla
🏇 itellaq, jockey, żiemel, żiemel tat-tlielaq
⛷ silġ, skier, skis
🏂 silġ, skis, snowboard, snowboarder
🏌 ballun, golf, persuna tilgħab il-golf
🏌‍♂ golf, raġel, raġel jilgħab il-golf
🏌‍♀ golf, mara, mara tilgħab il-golf
🏄 persuna surfing, surfing
🏄‍♂ raġel, surfing
🏄‍♀ mara, surfing
🚣 dgħajsa, dgħajsa bil-moqdief, persuna taqdef dgħajsa
🚣‍♂ dgħajsa, dgħajsa bil-moqdief, raġel, raġel taqdef dgħajsa
🚣‍♀ dgħajsa, dgħajsa bil-moqdief, mara, mara taqdef dgħajsa
🏊 għawma, persuna tgħum
🏊‍♂ għawma, raġel, raġel jgħum
🏊‍♀ mara, tgħum
⛹ ballun, persuna tqabbeż ballun
⛹‍♂ ballun, raġel, raġel iqabbeż ballun
⛹‍♀ ballun, mara, mara tqabbeż ballun
🏋 irfigħ, jerfa’, persuna terfa’ l-piż, piż
🏋‍♂ jerfa’ l-piż, raġel, raġel jerfa’ l-piżijiet
🏋‍♀ mara, mara terfa’ l-piżijiet, terfa’ l-piż
🚴 ċiklist, ġiri bir-rota, persuna ssuq rota, rota
🚴‍♂ ċiklist, ġiri bir-rota, raġel, raġel isuq rota, rota
🚴‍♀ ċiklist, ġiri bir-rota, mara, mara ssuq rota, rota
🚵 ċiklist, muntanja, persuna ssuq mountain bike, persuna ssuq rota, rota
🚵‍♂ muntanja, persuna ssuq rota, raġel, raġel isuq mountain bike, rota
🚵‍♀ ċiklist, mara, mara ssuq mountain bike, muntanja, persuna ssuq rota, rota
🤸 gabrijola, ġinnastika, persuna tagħmel gabrijoli
🤸‍♂ gabrijola, ġinnastika, raġel, raġel jagħmel gabrijoli
🤸‍♀ gabrijola, ġinnastika, mara, mara tagħmel gabrijoli
🤼 persuna jagħmlu r-wrestling, wrestle, wrestler
🤼‍♂ irġiel, irġiel jagħmlu r-wrestling, wrestle
🤼‍♀ nisa, nisa jagħmlu r-wrestling, wrestle
🤽 ilma, persuna tilgħab il-waterpolo, polo
🤽‍♂ raġel, raġel jilgħab il-waterpolo, water polo
🤽‍♀ mara, mara tilgħab il-waterpolo, water polo
🤾 ballun, handball, persuna tilgħab il-handball
🤾‍♂ handball, raġel, raġel jilgħab il-handball
🤾‍♀ handball, mara, mara tilgħab il-handball
🤹 bilanċ, ħila, juggle, multitask, persuna tagħmel il-juggling
🤹‍♂ juggling, multitask, raġel, raġel jagħmel il-juggling
🤹‍♀ juggling, mara, mara tagħmel il-juggling, multitask
🧘 joga, meditazzjoni, persuna fil-pożizzjoni ta’ lotus
🧘‍♂ joga, meditazzjoni, raġel fil-pożizzjoni ta’ lotus
🧘‍♀ joga, mara fil-pożizzjoni ta’ lotus, meditazzjoni
🛀 banju, persuna tieħu banju
🛌 lukanda, persuna fis-sodda, rqad
👭 idejn, koppja, mara, żewġ nisa jżommu jdejhom, żomm
👫 idejn, koppja, mara, raġel, raġel u mara jżommu jdejhom, żomm
👬 Gemini, idejn, koppja, raġel, tewmin, żewġt irġiel iżommu jdejhom, żodjaku, żomm
💏 bewsa, koppja
💑 imħabba, koppja, koppja b’qalb
👪 familja
🗣 jitkellmu, ras, silwett, titkellem, wiċċ
👤 bust, bust f’silwett, silwett
👥 bust, busti f’silwett, silwett
👣 ħwejjeġ, impronta, ipprintja, marki tas-saqajn
🐵 wiċċ, wiċċ ta’ xadina, xadina
🐒 xadina
🦍 gorilla
🐶 kelb, pet, wiċċ, wiċċ ta’ kelb
🐕 kelb, pet
🐩 kelb, poodle
🐺 lupu, wiċċ, wiċċ ta’ lupu
🦊 volpi, wiċċ, wiċċ ta’ volpi
🐱 pet, qattus, wiċċ, wiċċ ta’ qattus
🐈 pet, qattus
🦁 Iljun, Leo, wiċċ, wiċċ ta’ ljun, żodjaku
🐯 tigra, wiċċ, wiċċ ta’ tigra
🐅 tigra
🐆 leopard
🐴 wiċċ, wiċċ ta’ żiemel, żiemel
🐎 ekwestri, tlielaq, żiemel, żiemel tat-tiġrija
🦄 unikornu, wiċċ, wiċċ ta’ unikornu
🦓 strixxa, żebra
🦌 ċerva
🐮 baqra, wiċċ, wiċċ ta’ baqra
🐂 barri, bhima, Taurus, żodjaku
🐃 buflu, buflu tal-ilma, ilma
🐄 baqra
🐷 majjal, wiċċ, wiċċ ta’ ħanżir
🐖 ħanżir, ħanżira
🐗 ċingjal, ħanżir
🐽 imnieħer, imnieħer ta’ ħanżir, majjal, wiċċ
🐏 Aries, maskili, muntun, nagħaġ, żodjaku
🐑 femminil, nagħaġ, nagħġa
🐐 Capricorn, mogħża, żodjaku
🐪 dromedarju, ġemel, ħotba
🐫 baktrijan, ġemel, ġemel b’żewġ ħotob, ħotba
🦒 ġiraff, tikek
🐘 iljunfant
🦏 rinoċeronti
🐭 ġurdien, wiċċ, wiċċ ta’ ġurdien
🐁 ġurdien
🐀 far
🐹 ħamster, pet, wiċċ, wiċċ ta’ ħamster
🐰 fenek, pet, wiċċ, wiċċ ta’ fenek
🐇 fenek, pet
🐿 chipmunk
🦔 bix-xewk, qanfud
🦇 farfett il-lejl, vampira
🐻 ors, wiċċ, wiċċ ta’ ors
🐨 koala, ors
🐼 panda, wiċċ, wiċċ ta’ panda
🐾 ipprintja, marki tas-saqajn ta’ annimal, saqajn, saqajn ta’ annimal
🦃 dundjan, għasfur
🐔 għasfur, tiġieġ, tiġieġa
🐓 għasfur, serduk
🐣 fellus, fellus qed ifaqqas, għasfur, tfaqqis, żgħir
🐤 fellus, għasfur, żgħir
🐥 fellus, fellus żgħir iħares ’il quddiem, għasfur, żgħir
🐦 għasfur
🐧 għasfur, pingwin
🕊 għasfur, ħamiema, itir, paċi
🦅 ajkla, għasfur
🦆 għasfur, papra
🦉 għaqli, għasfur, kokka
🐸 wiċċ, wiċċ ta’ żrinġ, żrinġ
🐊 kukkudrill
🐢 fekruna, terrapin
🦎 rettili, wiża’
🐍 Ophiuchus, portatur, serp, serpent, żodjaku
🐲 dragun, ħrafa, wiċċ, wiċċ ta’ dragun
🐉 dragun, ħrafa
🦕 brakkjosawru, brontosawru, diplodoku, sawropodu
🦖 T-Rex, Tirannosawru Rex
🐳 baliena, baliena tfawwar l-ilma, tfawwar, wiċċ
🐋 baliena
🐬 denfil, ġewnaħ
🐟 ħut, Pisces, żodjaku
🐠 ħut, tropikali
🐡 blowfish, ħut
🦈 ħut, kelb il-baħar
🐙 qarnita
🐚 qoxra, spirali
🐌 bebbuxu
🦋 farfett, insett, sabiħ
