🏻 ọtanjele ahụ, ọtanjele ahụ maka ọcha, ụdị 1–2
💣 mkpaọchị, ogbunigwe
💬 blonblo, blonblon, mkpaọchị, okwu, ụbụbọ
👁‍🗨 akaebe, anya, anya na blonblo okwu, blonblo okwu
🗨 blonblo okwu akaèkpè, okwu, ụbọbọ
🗯 ara, blonblo, blonblo iwe akanri, blonblon, iwe
💭 blonblo, blonblon, echichè, mkpaọchị
💤 mkpaọchị, ụra, zzz
👋 aka, na-efe, ofufe
🤚 azụ aka, azụ aka nke ewelitere elu, ewelitere elu
🖐 aka, mgbasa mkpịsịaka, mkpịsịaka, welitere aka elu n’iji mgbasa mkpịsịaka
✋ aka, aka ewèliri
🖖 ajọọ èkèle, aka, mgbasa mkpịsịaka, mkpịsịaka
👌 aka, AKA dị mma, DỊ MMA
✌ aka, mmeri, v
🤞 aka, isiọma, mkpịakọ, mkpịakọ mkpịsịaka gasị, mkpịsịaka
🤟 aka, ILY, ogbugbu-ịhụnanya
🤘 aka, akara nke mpi gasị, mkpịsịaka, mkpịsịaka abụọ, mpi gasị
🤙 aka, kpọọ, kpọọ mụ aka
👈 àzụaka na-arụ aka akaèkpè, backhand, finger, hand, index, point
👉 àzụaka na-arụ aka akanri, backhand, finger, hand, index, point
👆 aka, àzụaka, mkpịsịaka, n’elu, na-arụ
🖕 aka, mkpịsịaka, mkpịsịaka etiti
👇 aka, ala, àzụaka, àzụaka na-arụ aka n’ala, mkpịsịaka, na-arụ
☝ aka, mkpịsịaka, n’elu, na-arụ
👍 +1, aka, elu, oboaka, oboaka n’elu
👎 -1, aka, ala, oboaka, oboaka n’ala
✊ aka, aka afụ̀rụ̀ afụ̀, aka ọkpọ ewelitere, ịkụ ọkpọ, ọkpọaka
👊 aka, aka afụ̀rụ̀ afụ̀, aka ọkpọ na-abịa abịa, ịkụ ọkpọ, ọkpọaka
🤛 aka ọkpọ, aka ọkpọ chewere-akaèkpè, gara akaèkpè
🤜 aka ọkpọ, aka ọkpọ chewere-akanri, gara akanri
👏 aka, kụọ, na-akụ aka
🙌 aka, aka ndị eweliri elu, ènwemụaṅụrị, huree, ogbugbu, welitere
👐 aka, aka mepere emepe, mmepe
🤲 ekpere, nchịkọta aka abụọ ọnụ
🤝 aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nzukọ
🙏 aka, aka ejikọrọ ọnụ, biko, daalụ, hulata, jikọrọ ọnụ, jụọ, kpee ekpere, ogbugbu
✍ aka, aka na-ede ihe, dèe
💅 mbọ, mkpụcha aka, nleta, nteji, nteji mbọaka, ọtanjele
🤳 ekwenti, igwefòto, selfi
💪 akaọkpọ, akpụ̀ aka, akwara, mkpaọchị
👂 àhụ, nti
👃 àhụ, imi
🧠 amamiihe, ụbụrụ
👀 anya, anya gasị, ihu
👁 àhụ, anya
👅 àhụ, ire
👄 egbugbereọnụ, ọnụ
👶 nwata ọhụrụ, obere
🧒 nwata, obere nwa, oke na nne-ndịnaetiti
👦 nwa nwoke, nwata, nwoke
👧 Nwata, nwata nwaanyị, vigo, zodiak
🧑 oke na nne-ndịnaetiti, okenye
👱 isi awọ, Onye-isi awọ
👨 nwoke
🧔 àhụọnụ, onye nwere ahụọnụ
👱‍♂ isi awọ, nwoke, nwoke nwere isi-awọ
👩 nwanyị
👱‍♀ isi awọ, nwanyị, nwanyị nwere isi-awọ
🧓 kara dị okenye, oke na nne-ndịnaetiti, okenye
👴 nwoke, okenye
👵 nwanyị, okenye, okenye nwaanyị
🙍 mgbarụ, ogbugbu, onye na-agbarụ ihu
🙍‍♂ na-agbarụ, nwoke, nwoke na-agbarụ ihu, ogbugbu
🙍‍♀ na-agbarụ, nwanyị, nwanyị na-agbarụ ihu, ogbugbu
🙎 na-asọpụta ọnụ, ogbugbu, onye na-asọpụta ọnụ
🙎‍♂ na-asọpụta ọnụ, nwoke, nwoke na-asọpụta ọnụ, ogbugbu
🙎‍♀ na-asọpụta ọnụ, nwanyi, nwanyị na-asọpụta ọnụ, ogbugbu
🙅 ajụ, aka, machido, mba, odịghị, ogbugbu, onye na-egosipta MBÀ
🙅‍♂ ajụ, aka, machido, mba, nwoke, nwoke na-egosipta MBÀ, ogbugbu
🙅‍♀ ajụ, aka, machido, mba, nwanyị, nwanyị na-egosipta MBÀ, ogbugbu
🙆 aka, Ọ DỊ MMA, ogbugbu, onye na-egosipta Ọ DỊ MMA
🙆‍♂ aka, nwoke, nwoke na-egosipta Ọ DỊ MMA, Ọ DỊ MMA, ogbugbu
🙆‍♀ aka, nwanyị, nwanyị na-egosipta Ọ DỊ MMA, Ọ DỊ MMA, ogbugbu
💁 aka, ènyèmaka, na-ehulata, onye na-ehulata aka, ozi, sassy
💁‍♂ na-ehulata aka, nwoke, nwoke na-ehulata aka, sassy
💁‍♀ na-ehulata aka, nwanyị, nwanyị na-ehulata aka, sassy
🙋 aka, aṅụrị, ewelitere, ogbugbu, onye na-ewelite aka
🙋‍♂ na-ewelite aka, nwoke, nwoke na-ewelite aka, ogbugbu
🙋‍♀ na-ewelite aka, nwanyị, nwanyị na-ewelite aka, ogbugbu
🙇 hulata, ndo, ogbugbu, onye na-ehulata ala
🙇‍♂ na-ehulata ala, ndo, ngọzi, nwoke, nwoke na-ehulata ala, ogbugbu
🙇‍♀ na-ehulata ala, ndo, ngọzi, nwanyị, nwanyị na-ehulata ala, ogbugbu
🤦 e zoro, ezo, ihu, n’ihi ihe ndakwasi, onye na-ezo ihu ya èzo
🤦‍♂ e zoro ezo, ekwenyeghị, ihu, nwoke, nwoke na-ezo ihu ya èzo
🤦‍♀ e zoro ezo, ekwenyeghị, ihu, nwanyị, nwanyị na-ezo ihu ya èzo
🤷 adịghị iche, amaghị, ekweghị ekwe, gosi nhà, onye ngosipụta nhatanha aka
🤷‍♂ adịghị iche, amaghị, ekweghị ekwe, gosi nhà, nwoke, nwoke na-egosi nhatanha aka
🤷‍♀ adịghị iche, amaghị, ekweghị ekwe, gosi nhà, nwanyị, nwanyị na-egosi nhatanha aka
👨‍⚕ dọkịta, nletaahụike, nọọsụ, nwoke, nwoke ọrụ ahụike, onye dọkịta
👩‍⚕ dọkịta, nletaahụike, nọọsụ, nwanyị, nwanyị onye ọrụ ahụike, onye dọkịta
👨‍🎓 nwaakwụkwọ, nwoke, nwoke nwata akwụkwọ, onye gụchara akwụkwọ
👩‍🎓 nwaakwụkwọ, nwanyị, onye gụchara akwụkwọ
👨‍🏫 nwoke, ọkammụta, onyenkuzi, onyentụzịaka
👩‍🏫 nwanyị, ọkammụta, onyenkuzi, onyentụzịaka
👨‍⚖ ikpe nkwụọtọ, nsialọ, nwoke, nwoke ikpe
👩‍⚖ ikpe nkwụọtọ, nsialọ, nwanyị, nwanyị ikpe nkwụọtọ
👨‍🌾 nwoke, nwoke ọrụ ugbo, onye ọchị nnama, ọrụ ugbo, ọsụ ahịhịa
👩‍🌾 nwanyị, nwanyị ọrụ ugbo, onye ọchị nnama, ọrụ ugbo, ọsụ ahịhịa
👨‍🍳 na-esi, nri, nwoke
👩‍🍳 na-esi, nri, nwanyị
👨‍🔧 mechanik, nwoke, onyeazụmaahịa, ọrụ ngwaọkụ, ọrụụlọ
👩‍🔧 mechanik, nwanyị, onyeazụmaahịa, ọrụ ngwaọkụ, ọrụụlọ
👨‍🏭 nwoke, nwoke onyeọrụ ụlọ ọrụ, ọgbakọ, onyeọrụ, ụlọ ọrụ, ụlọọrụ
👩‍🏭 nwanyị, nwanyị onyeọrụ ụlọ ọrụ, ọgbakọ, onyeọrụ, ụlọ ọrụ, ụlọọrụ
👨‍💼 akwa-ọfịịsị, azụmaahịa, nwoke, nwoke onye ọrụ ọfịịsị, ọfịịsị, ọkammụta eserese, onyenjikwa
👩‍💼 akwa-ọfịịsị, azụmaahịa, nwanyị, nwanyị onye ọrụ ọfịịsị, ọfịịsị, ọkammụta eserese, onyenjikwa
👨‍🔬 injineer, nwoke, nwoke ọkammụta sayensi, ọkammụta ahụ mmadụ, ọkammụta phizisi, ọkammụta sayensi, ọkammụta sọm, oree ọgwụ
👩‍🔬 injineer, nwanyị, nwanyị ọkammụta sayensi, ọkammụta ahụ mmadụ, ọkammụta phizisi, ọkammụta sayensi, ọkammụta sọm, oree ọgwụ
👨‍💻 koda, ngwanrò, nwoke, nwoke onye teknụụzụ, onye mmepụta, onye teknụụzụ, onyenrụpụta
👩‍💻 koda, ngwanrò, nwanyi, nwanyi onye teknụụzụ, onye mmepụta, onye teknụụzụ, onyenrụpụta
👨‍🎤 kpakpandò, nwoke, nwoke ọgụụ egwu, ọgụụ egwu, ọkpaiheọchị, òmenkà, rọkụ
👩‍🎤 kpakpandò, nwanyi, nwanyi ọgụụ egwu, ọgụụ egwu, ọkpaiheọchị, òmenkà, rọkụ
👨‍🎨 nwoke, omeǹkà, palette
👩‍🎨 nwanyị, omeǹkà, palette
👨‍✈ nwoke, nwoke ọkwọ ugbọelu, ọ̀kwọụgbọelu, ụgbọelu
👩‍✈ nwanyị, ọkwọ, ugbọelu
👨‍🚀 nwoke, òjenọnwa, ụgbọeluọnwa
👩‍🚀 nwanyị, òjenọnwa, ụgbọelu ọnwa
👨‍🚒 nwoke, onyemgbanyụọkụ, ụgbọmgbanyụọkụ
👩‍🚒 nwanyị, onyemgbanyụọkụ, ụgbọmgbanyụọkụ
👮 ọfịịsa, onye, uweojii
👮‍♂ nwoke, ọfịịsa, onye, uweojii
👮‍♀ nwanyị, ọfịịsa, onye, uweojii
🕵 àmà, nchọpụta, sleuth
🕵‍♂ àmà, nchọpụta, nwoke, sleuth
🕵‍♀ àmà, nchọpụta, nwanyị, sleuth
💂 nche
💂‍♂ nche, nwoke
💂‍♀ nche, nwanyị
👷 ndị ọrụ, okpu, onye ọrụ ụzọ, ọrụ
👷‍♂ nwoke, onye ọrụ, onye ọrụ nwoke, ụzọ
👷‍♀ nwanyị, onye ọrụ, onye ọrụ nwanyị, ụzọ
🤴 ọkparaeze
👸 àdaeze, akọrọakọ, arọrọarọ
👳 onye yi turban, turban
👳‍♂ nwoke, nwoke yi turban, turban
👳‍♀ nwanyị, nwanyị yi turban, turban
👲 gua pi mao, nwoke, nwoke kpu okpu ndị China, okpu
🧕 akwa mkpuchi isi, ichafùisi, ichafùisi ndị Ju, ichafùisi ogologo, nwanyị nwere ichafùisi
🤵 nwoke, nwoke yi uwe agbamụakwụkwọ, uwe agbamụakwụkwọ, yi akwà
👰 akwà nkochi ihu, na-agbàakwụkwọ, Nwanyị na-agba akwụkwọ, Nwanyị na-agba akwụkwọ yi akwa nkochi ihu
🤰 dị ime, nwanyị, nwanyị dị ime
🤱 ara, enyemụara, na-eleta nwa, nwa
👼 akarọakọ, arọrarọ, ihu, mmụọ ọma, mụo ọma nwata ọhụrụ, nwata ọhụrụ
🎅 claus, Ekeresìmesì, Emume, nna, Nna Ekeresìmesi, santa
🤶 claus, ekeresìmesì, Ènwemụaṅụrị, Mrs., nne, Nne Ekeresìmesi
🧙 dibia nwanyị, dibịa nwoke, nwanyị kwenyere n’ike abrakatabra, nwoke kwenyere n’ike abrakatabra, onye abrakatabra
🧙‍♂ dibia nwoke, nwoke abrakatabra, nwoke kwenyere n’ike abrakatabra
🧙‍♀ dibia nwanyị, nwanyị kwenyere n’ike abrakatabra, nwanyị onye abrakatabra
🧚 akụkọ, Oberon, Puck, Titania
🧚‍♂ akụkọ nwoke, Oberon, Puck
🧚‍♀ akụkọ nwanyị, Titania
🧛 akụkọ mmụọ, Dracula, ọmị ọbara
🧛‍♂ akụkọ mmụọ, Dracula, nwoke ọmị ọbara
🧛‍♀ akụkọ mmụọ, nwanyị ọmị obara
🧜 mamịwọta, nwanyịwọta, onyewọta, papịwọta
🧜‍♂ nwokewọta, Tritọn
🧜‍♀ mamịwọta, nwanyịwọta
🧝 àbràkàtabrà, elfụ
🧝‍♂ àbràkàtabrà, nwoke elfụ
🧝‍♀ àbràkàtabrà, nwanyị elfụ
🧞 mmụọ siri ike, nwa mmegbu
🧞‍♂ mmụọ siri ike, nwoke mmegbu
🧞‍♀ mmụọ siri ike, nwanyị mmegbu
🧟 akụkọ mmụọ, ndị nwụrụ anwụ na-aga ije, onye nwụrụ anwụ na-aga ije
🧟‍♂ akụkọ mmụọ, ndị nwụrụ anwụ na-aga ije, nwoke nwụrụ anwụ na-aga ije
🧟‍♀ akụkọ mmụọ, ndị nwụrụ anwụ na-aga ije, nwanyị nwụrụ anwụ na-aga ije
💆 ihu, onye na-anata ozi, ozi, ụlọ isi
💆‍♂ ihu, nwoke, nwoke na-anata ozi, ozi
💆‍♀ ihu, nwanyi, nwanyị na-anata ozi, ozi
💇 ikpụisi, ọchọmma, ọkpụisi, Onye na-enweta ọkpụkpụisi, ụlọ
💇‍♂ nwoke, nwoke na-enweta ọkpụkpụisi, ọkpụkpụisi
💇‍♀ nwanyị, nwanyị na-enweta ọkpụkpụisi, ọkpụkpụisi
🚶 ije, na-aga ije, ogologo ije, onye na-aga ije
🚶‍♂ ije, nwoke, nwoke na-aga ije, ogologo ije
🚶‍♀ ije, nwanyị, nwanyị na-aga ije, ogologo ije
🏃 agbamụọsọ, na-agba ọsọ, onye na-agba ọsọ
🏃‍♂ agbamụọsọ, na-agba ọsọ, na-eme egwuregwu inyinya, nwoke, nwoke na-agba ọsọ
🏃‍♀ agbamụọsọ, na-agba ọsọ, na-eme egwuregwu inyinya, nwanyị, nwanyị na-agba ọsọ
💃 na-agba egwu, nwanyị, nwanyị na-agba egwu
🕺 egwu, nwoke, nwoke na-agba egwu
🕴 akwà, azụmaahịa, nwoke, nwoke yi akwà azụmaahịa na-efe n’elu
👯 na-agba egwu, ndị mmadụ ndị na-agba egwu nwere nti ogologo, nti ogologo, ọgba egwu
👯‍♂ na-agba egwu, nwere nti ogologo, ọgba egwu, ụmụnwoke, ụmụnwoke nwere nti ogologo na-agba egwu
👯‍♀ na-agba egwu, nwere nti ogologo, ọgba egwu, ụmụnwanyi, ụmụnwanyi nwere nti ogologo na-agba egwu
🧖 okpomọọkụ ụkọ ahụ, onye nọ n’ụlọ okpomọọkụ mmiri ahụ, ụlọ okpomọọkụ mmiri ahụ
🧖‍♂ nwoke nọ n’ụlọ okpomọọkụ mmiri ahụ, okpomọọkụ ụkọ ahụ, ụlọ okpomọọkụ mmiri ahụ
🧖‍♀ nwanyị nọ n’ụlọ okpomọọkụ mmiri ahụ, okpomọọkụ ụkọ ahụ, ụlọ okpomọọkụ mmiri ahụ
🧗 onye na-arị elu, ọ̀rị elu
🧗‍♂ nwoke na-arị elu, ọ̀rị elu
🧗‍♀ nwanyị na-arị elu, ọ̀rị elu
🤺 egwuregwu akparakpa mma, mma, na-eme egwuregwu akparakpa mma, onye na-eme egwuregwu akparakpa mma
🏇 agbamụọsọ egwuregwu inyinyà, egwuregwu inyinyà, inyinyà, inyinyà eji agba ọsọ
⛷ akụrụ mmiri igwe, egwuregwu, onye egwuregwu mkpọda ugwu
🏂 egwuregwu, kụrụ mmiri igwe, nye egwuregwu akụrụ mmiri, onye egwuregwu akụrụ mmiri
🏌 bọọlụ gọfụ, onye na-akụ gọfụ
🏌‍♂ gọfụ, nwoke, nwoke na-akụ gọfụ
🏌‍♀ gọfụ, nwanyị, nwanyị na-akụ gọfụ
🏄 na-eme egwuregwu oshimiri, onye egwuregwu oshimiri
🏄‍♂ na-eme egwuregwu oshimiri, nwoke, nwoke na-eme egwuregwu oshimiri
🏄‍♀ na-eme egwuregwu oshimiri, nwanyị, nwanyị na-eme egwuregwu oshimiri
🚣 onye na-akwọ ụgbọ epepe, ụgbọ epepe, ụgbọmmiri
🚣‍♂ nwoke, nwoke na-akwọ ụgbọmmiri, ụgbọ epepe, ụgbọmmiri
🚣‍♀ nwanyị, nwanyị na-akwọ ụgbọmmiri, ụgbọ epepe, ụgbọmmiri
🏊 gwuo mmiri, onye na-egwu mmiri
🏊‍♂ gwuo mmiri, nwoke, nwoke na-egwu mmiri
🏊‍♀ gwuo mmiri, nwanyị, nwanyị na-egwu mmiri
⛹ bọọlụ, onye na-atụ bọolụ
⛹‍♂ bọọlụ, nwoke, nwoke na-atụ bọolụ
⛹‍♀ bọọlụ, nwanyị, nwanyị na-atụ bọolụ
🏋 ibu, onye mbuli ihe, onye na-ebuli ihe elu
🏋‍♂ nwoke, nwoke na-ebuli ihe elu, onye na-ebuli ihe elu
🏋‍♀ nwanyị, nwanyị na-ebuli ihe elu, onye na-ebuli ihe elu
🚴 igwe, na-agba igwe, Onye egwuregwu ịgba Igwe, onye na-agba igwe
🚴‍♂ egwuregwu ịgba igwe, igwe, nwoke, nwoke na-agba igwe, onye na-agba igwe
🚴‍♀ igwe, na-agba igwe, nwanyị, nwanyị na-agba igwe, onye na-agba igwe
🚵 egwuregwu ịgba igwe, igwe, onye egwuregwu ịrị ugwu, onye na-agba igwe, ugwu
🚵‍♂ igwe, nwoke, nwoke egwuregwu ịrị ugwu, onye na-agba igwe, ugwu
🚵‍♀ egwuregwu ịgba igwe, igwe, nwanyị, nwanyi egwuregwu ịrị ugwu, onye na-agba igwe, ugwu
🤸 ebe egwuregwu, egwuntụgharị onwe, onye na-eme egwuntụgharị onwe
🤸‍♂ na-eme egwuregwu ntụgharị, nwoke, nwoke na-eme egwuregwu ntụgharị onwe, onwe
🤸‍♀ ebe egwuregwu, ntụghari onwe, nwanyị, nwanyị na-eme egwuregwu ntụgharị onwe
🤼 mgba, ndị mmadụ ndị na-agba m̀gba, onye mgba
