🏻 launin fata, launin fata mai haske, nau’in 1–2
😥 ɓata wa rai, fuska, fuska ɓata wa rai amma mai kwancin hankali, kwancin hankali, whew
😢 baƙin ciki, fuska, fuska mai kuka, hawaye, kuka
😭 baƙin ciki, fuska, fuska mai kuka da ƙarfi, hawaye, kuka, kuka da shassheƙa
😱 ci abinci da sauri, fuska, fuska mai yin ƙara a cikin tsoro, jin tsoro, mai tsoro, tsoro, yi ƙara
😖 fuska, fuska mai rikitarwa, rikitarwa
😣 fuska, fuska mai nacewa, nacewa
😞 ɓacin rai, fuska, fuska mai ɓacin rai
😓 fuska, fuska tare da gumi mai sanyi, gumi, sanyi
😩 fuska, gajiya, gajiyayye, gajiyayyiyar fuska
😫 fuska, fuska mai gajiya, gajiya
😤 an yi nasara, fuska, fuska tare da tururi daga hanci, nasara
😡 ɓacin zuciya, fushi, fuska, fuska mai nuna ɓacin zuciya, hasala, haushi, ja
😠 fushi, fuska, fuska mai fushi, haushi
🤬 fuska tare da alamomi bisa baki, yin ashar
😈 fuska, fuska mai murmushi tare da ƙahoni, ƙahoni, labarin aljana, murmushi, tatsuniya
👿 aljanu, fuska, fuska mai fushi tare da ƙahoni, iblis, labarin aljana, shaiɗan, tatsuniya
💀 dodo, fuska, ƙoƙon kai, labarin aljana, mutuwa
☠ dodo, fuska, haɗaɗɗun ƙashushuwa, ƙoƙon kai, ƙoƙon kai da haɗaɗɗun ƙashushuwa, mutuwa
💩 dodo, fuska, kashi, mai ban dariya, taki, taroso, tsibin kashi
🤡 cali-cali, fuska, fuskar cali-cali
👹 dodo, fuska, halitta, labarin aljana, tatsuniya
👺 dodanni, dodo, fuska, halitta, labarin aljana, tatsuniya
👻 dodo, fatalwa, fuska, halitta, labarin aljana, tatsuniya
👽 baƙon sararin sama, dodo, fuska, halitta, halitta a waje da duniya, labarin aljana, tatsuniya, ufo
👾 baƙon sararin sama, dodo, dodon baƙon sararin sama, fuska, halitta, halitta a waje da duniya, labarin aljana, tatsuniya, ufo
🤖 dodo, fuska, fuskar Robot, robot
😺 a buɗe, baki, fuska, fuskar kyanwa mai murmushi tare da baki a buɗe, kyanwa, murmushi
😸 fuska, fuskar kyanwa mai murmushi baki har kunne tare da idanu masu murmushi, ido, kyanwa, murmushi, murmushi baki har kunne
😹 fuska, fuskar kyanwa tare da hawayen murna, hawaye, kyanwa, murna
😻 fuska, fuskar kyanwa mai murmushi tare da idanun-zuciya, ido, kyanwa, ƙauna, murmushi
😼 ɓacin rai, fuska, fuskar kyanwa tare da murmushin ɓacin rai, hutsu, kyanwa, murmushi
😽 fuska, fuskar kyanwa mai sumbata tare da rufaffun idanu, ido, kyanwa, sumba
🙀 fuska, fuskar kyanwa mai gajiya, gajiya, jin mamaki, kyanwa, oho
😿 baƙin ciki, fuska, fuskar kyanwa mai kuka, hawaye, kuka, kyanwa
😾 fuska, fuskar kyanwa mai nuna ɓacin zuciya, kyanwa, nuna ɓacin zuciya
🙈 a’a, an hana, babu, biri, biri na kada a gan mamuganci, fuska, gani, haram, karimci, mamuganci
🙉 a’a, an hana, babu, biri, biri na kada a jin mamuganci, fuska, haram, ji, karimci, mamuganci
🙊 a’a, an hana, babu, biri, biri na kada a faɗi mamuganci, faɗa, fuska, haram, karimci, mamuganci
💋 alamar sumba, leɓuna, sumba
💌 mel, soyayya, wasiƙa, wasiƙar soyayya, zuciya
💘 cupid, kibiya, zuciya tare da kibiya
💝 ribon, valentine, zuciya tare da ribon
💖 mai ƙyalƙyali, tsima, zuciya mai ƙyalƙyali
💗 bugun jini, juyayi, mai bunƙasawa, tsima, zuciya mai bunƙasawa
💓 bugawa, bugawar zuciya, zuciya mai bugawa
💞 mai juyawa, zuciyoyi masu juyawa
💕 soyayye, zuciyoyi biyu
💟 adon zuciya, zuciya
❣ alama, alamar motsin rai, alamar motsin rai na nauyin zuciya, alamomin rubutu
💔 karyayyiyar zuciya, karye, karyeyye
❤ jan zuciya, zuciya
🧡 ruwan goro, zuciyar na ruwan goro
💛 rawaya, rawayan zuciya
💚 kore, koren zuciya
💙 shuɗi, shuɗin zuciya
💜 algashi, algashin zuciya
🖤 baƙi, baƙin zuciya, mugu, sharri
💯 100, cikakke, ɗari, maki, makunan ɗari
💢 alamar fushi, fushi, haushi, mai ban dariya
💥 boom, karo, mai ban dariya
💫 jiri, mai ban dariya, tauraro
💦 ɗige-ɗigen gumi, fantsama, gumi, mai ban dariya
💨 gudu, gudu mai sauri, mai ban dariya, yin gudu
🕳 rami
💣 bam, mai ban dariya
💬 balan-balan, kumfa, magana, mai ban dariya, zance
👁‍🗨 ido, ido a cikin kumfan magana, kumfan magana, mai shaida
🗨 kumfan magana na hagu, magana, zance
🗯 balan-balan, fushi, haushi, kumfa, kumfan fushi na dama
💭 balan-balan, kumfa, mai ban dariya, tunani
💤 barci, mai ban dariya, zzz
👋 hannu, hannu mai wurgawa, wurga, wurgawa
🤚 bayan hannu, ɗagagge, ɗagaggen bayan hannu
🖐 ɗagaggen hannu tare da yatsa a faɗaɗɗe, faɗaɗa hannu, hannu, yatsa
✋ ɗagaggen hannu, hannu
🖖 gaisuwar vulcan, hannu, spock, vulcan, yatsa
👌 hannu, hannun TO, TO
✌ hannu, hannun nasara, nasara, v
🤞 haɗa, haɗaɗɗun yatsu, hannu, sa’a, yatsa
🤟 hannu, ILY, nunin soyayya
🤘 alamar ƙahoni, hannu, ƙahoni, moriya, yatsa
🤙 hannu, hannun kira ni, kira
👈 bayan hannu, ɗan ali, ɗan ali na baya mai nunawa hagu, hannu, nuna, yatsa
👉 bayan hannu, ɗan ali, ɗan ali na baya mai nunawa dama, hannu, nuna, yatsa
👆 bayan hannu, ɗan ali, ɗan ali na baya mai nunawa sama, hannu, nuna, sama, yatsa
🖕 ɗan yatsan tsakiya, hannu, yatsa
👇 bayan hannu, ɗan ali, ɗan ali na baya mai nunawa ƙasa, hannu, ƙasa, nuna, yatsa
☝ ɗan ali, ɗan ali mai nunawa sama, hannu, nuna, sama, yatsa
👍 +1, babban yatsa, da kyau, hannu, sama
👎 -1, babban yatsa, babu kyau, hannu, ƙasa
✊ dunƙulalle, dunƙulen hannu, ɗagaggen dunƙulen hannu, hannu, naushi
👊 dunƙulalle, dunƙulen hannu, dunƙulen hannu mai zuwa, hannu, naushi
🤛 dunƙulen hannu, dunƙulen hannu mai fuskanta hagu, ta hannun hagu
🤜 dunƙulen hannu, dunƙulen hannu mai fuskanta dama, ta hannun dama
👏 hannu, hannuwa mai tafawa, tafa
🙌 ɗagagge, ɗagaggun hannuwa, hannu, karimcin, murna, shagali
👐 a buɗe, buɗaɗɗun hannuwa, hannu
🤲 addu’a, tafunan hannu a sama tare
🤝 hannu, sha, shan hannu, taro, yarjejeniya
🙏 addu’a, don Allah, godiya, hannu, kalmasassu, kalmasassun hannuwa, karimcin, roƙo, sunkuya
✍ hannu, hannu mai rubutawa, rubuta
💅 farce, jan farce, kayan shafawa, kula, mai, yankan farce
🤳 hoton kanka, kyamara, waya
💪 ƙwanji, mai ban dariya, tanƙwara, tanƙwararrun ƙwanji, tsoka
👂 jiki, kunne
👃 hanci, jiki
🧠 ƙwaƙwalwa, mai azanci
👀 fuska, idanu, ido
👁 ido, jiki
👅 harshe, jiki
👄 baki, leɓuna
👶 jariri, ƙarami
🧒 ɗa, ƙarami, mara danganta ga jinsi
👦 ƙarami, yaro
👧 ƙarami, Virgo, yarinya, zodiac
🧑 babba, mara danganta ga jinsi
👱 mai farin gashi, mutum mai farin gashi
👨 namiji
🧔 gemu, mutumi mai gemu
👱‍♂ mai farin gashi, mutum, namiji mai farin gashi
👩 mace
👱‍♀ mace, mace mai farin gashi, mai farin gashi
🧓 babba mafi tsoho, mara danganta ga jinsi, tsoho
👴 dattijo, mutum, tsoho
👵 dattijuwa, mace, tsoho
🙍 ɓacin rai, karimcin, mutum mai ɓacin rai
🙍‍♂ ɓacin rai, karimcin, mutum, namiji mai ɓacin rai
🙍‍♀ ɓacin rai, karimcin, mace, mace mai ɓacin rai
🙎 ɓacin zuciya, karimci, mutum mai nunawa ɓacin zuciya
🙎‍♂ ɓacin zuciya, karimcin, mutum, mutum mai ɓacin zuciya
🙎‍♀ ɓacin zuciya, karimci, mace, mace mai ɓacin zuciya
🙅 a’a, an hana, babu, hannu, haram, karimcin, mutum mai nunawa A’A da hannu
🙅‍♂ a’a, an hana, hannu, haram, karimcin, mutum, namiji mai nunawa A’A da hannu
🙅‍♀ a’a, an hana, hannu, haram, karimcin, mace, mace mai nunawa A’A da hannu
🙆 hannu, karimcin, mutum mai nunawa TO da hannu, TO
🙆‍♂ mutum, namiji mai nunawa TO da hannu, nunawa da hannu, TO
🙆‍♀ hannu, karimcin, mace, mace mai nunawa TO da hannu, TO
💁 bayani, bayar da ci-goro, hannu, ƙarfin zuciya, mutum hannu mai ba da ci-goro, taimako
💁‍♂ hannu mai ba da ci-goro, ƙarfin zuciya, mutum, namiji hannu mai ba da ci-goro
💁‍♀ hannu mai ba da ci-goro, ƙarfin zuciya, mace, mace hannu mai ba da ci-goro
🙋 ɗagagge, hannu, karimcin, murna, mutum mai ɗagawa hannu
🙋‍♂ ɗagawa hannu, karimcin, mutum, namiji mai ɗagawa hannu
🙋‍♀ ɗagawa hannu, karimcin, mace, mace mai ɗagawa hannu
🙇 gafarta, haƙuri, karimcin, mutum mai sunkuya, sunkuya
🙇‍♂ alheri, gafarta, haƙuri, karimcin, mutum, namiji mai sunkuya, yin sunkuya
🙇‍♀ alheri, gafarta, haƙuri, karimcin, mace, mace mai sunkuya, yin sunkuya
🤦 fushi, fuska, mutum nunawa kunya, rashin imani, tafin hannu
🤦‍♂ fushi, namiji, namiji nunawa kunya, rashin imani, tafin hannu na fuska
🤦‍♀ fushi, mace, mace nunawa kunya, rashin imani, tafin hannu na fuska
🤷 ɗaga kafaɗa, halin kurum, mutum ɗaga kafaɗa, rashin sani, shakka
🤷‍♂ ɗaga kafaɗa, halin kurum, mutum, mutum ɗagawa kafaɗa, rashin sani, shakka
🤷‍♀ ɗaga kafaɗa, halin kurum, mace, mace ɗagawa kafaɗa, rashin sani, shakka
👨‍⚕ kula da lafiya, likita, mai ba da kula, mutum, mutum ma’aikacin kula da lafiya, nas
👩‍⚕ kula da lafiya, likita, mace, mace ma’aikacin kula da lafiya, mai ba da kula, nas
👨‍🎓 ɗalibi, mai digiri, mutum
👩‍🎓 ɗalibi, mace, mai digiri
👨‍🏫 frafesa, mai koyarwa, malami, mutum
👩‍🏫 frafesa, mace, mai koyarwa, malami
👨‍⚖ mutum, mutum joji, shari’a, sikeloli
👩‍⚖ joji, mace, sikeloli
👨‍🌾 gadina, mai kiwon shanu, manomi, mutum
👩‍🌾 gadina, mace, mai kiwon shanu, manomi
👨‍🍳 kuku, mai girki, mutum
👩‍🍳 kuku, mace, mai girki
👨‍🔧 ɗan kasuwa, mai aikin lantarki, mai gyaran famfo, makanika, mutum
👩‍🔧 ‘yar kasuwa, mace, mai aikin lantarki, mai gyaran famfo, makanika
👨‍🏭 ma’aikaci, ma’aikatar harhaɗa, masana’anta, masana’antu, mutum, mutum ma’aikacin masana’antu
👩‍🏭 ma’aikaci, ma’aikatar harhaɗa, mace, mace ma’aikacin masana’antu, masana’anta, masana’antu
👨‍💼 aikin ofis, kasuwanci, mai ilimin zane, manaja, mutum, mutum ma’aikacin ofis, ofis
👩‍💼 aikin ofis, kasuwanci, mace, mace ma’aikacin ofis, mai ilimin zane, manaja, ofis
👨‍🔬 injiniya, mai ilimin lissafi, masanin ilimin fiziks, masanin ilimin halittu, masanin kimiya, mutum, mutum masanin kimiya
👩‍🔬 injiniya, mace, mace masanin kimiya, mai ilimin lissafi, masanin ilimin fiziks, masanin ilimin halittu, masanin kimiya
👨‍💻 mai fasaha, mai ƙira, mai ƙirƙirowa, mai tsarin lambar sirri, mutum, mutum mai fasaha, sofwaya
👩‍💻 mace, mace mai fasaha, mai fasaha, mai ƙira, mai ƙirƙirowa, mai tsarin lambar sirri, sofwaya
👨‍🎤 ɗan wasa, mai shaƙatawa, mawaƙi, mutum, tauraro, waƙar rock
👩‍🎤 ɗan wasa, mace, mai shaƙatawa, mawaƙi, tauraro, waƙar rock
👨‍🎨 allon zane, mai zane, mutum, mutum mai zane
👩‍🎨 allon zane, mace, mace mai zane, mawaƙi
👨‍✈ jirgin sama, mai tuƙin jirgin sama, mutum, mutum mai tuƙin jirgin sama
👩‍✈ jirgin sama, mace, mace mai tuƙin jirgin sama, mai tuƙin jirgin sama
👨‍🚀 ɗan sama jannati, mutum, mutum ɗan sama jannati, roka
👩‍🚀 ɗan sama jannati, mace, mace ‘yar sama jannati, roka
👨‍🚒 ɗan kwana-kwana, motar kwana-kwana, mutum, mutum ɗan kwana-kwana
👩‍🚒 ɗan kwana-kwana, mace, mace ɗan kwana-kwana, motar kwana-kwana
👮 ɗan sanda, falis, ofisa
👮‍♂ ɗan sanda, falis, mutum, mutum ɗan sanda, ofisa
👮‍♀ ɗan sanda, ɗan sanda na mace, falis, mace, ofisa
🕵 ɗan leƙan asiri, ɗan sandan ciki, si’aidi
🕵‍♂ ɗan leƙan asiri, ɗan sandan ciki, mutum, si’aidi
🕵‍♀ ɗan leƙan asiri, ɗan sandan ciki, mace, si’aidi
💂 mai gadi
💂‍♂ gadi, gadi namiji, mutum
💂‍♀ gadi, gadi na mace, mace
👷 gini, hula, ma’aikaci, ma’aikacin gini
👷‍♂ gini, ma’aikaci, mutum, mutum ma’aikacin gini
👷‍♀ gini, ma’aikaci, mace, mace ma’aikacin gini
🤴 ɗan sarki
👸 gimbiya, labarin aljana, tatsuniya
👳 mutum mai sakawa rawani, rawani
👳‍♂ mutum, namiji mai sakawa rawani, rawani
👳‍♀ mace, mace mai sakawa rawani, rawani
👲 gua pi mao, hula, mutum, mutum mai hulan ’yan Caina
🧕 ɗankwali, ɗankwalin ‘yar Yahuda, hijabi, mace da ta saka ɗankwali, mantilla
🤵 kwat, miji, mutum, mutum a cikin kwat
👰 amarya, amarya mai hijabi, bikin aure, hijabi
🤰 ciki, mace, mace mai ciki
🤱 jariri, jego, nono, shayarwa
👼 fuska, jariri, jaririn malaika, labarin aljana, malaika, tatsuniya
🎅 claus, Kirsimati, santa, Santa Claus, shagali, uba
🤶 claus, Kirsimati, Matar, Matar Claus, shagalin biki, uwa
🧙 mai dabo, maye, mayya
🧙‍♂ maye, mutum mai dabo
🧙‍♀ mace mai dabo, mayya
🧚 aljana, Oberon, Puck, Titania
🧚‍♂ mutum aljani, Oberon, Puck
🧚‍♀ mace aljana, Titania
🧛 Dracula, mai shan jini, mara mutuwa
🧛‍♂ Dracula, mara mutuwa, mutum mai shan jini
🧛‍♀ mace mai shan jini, mara mutuwa
🧜 aljanar ruwa, aljanin ruwa, aljanun ruwa, babbar aljanar ruwa
🧜‍♂ aljanin ruwa, Triton
🧜‍♀ aljanar ruwa, babbar aljanar ruwa
🧝 abin dabo, jinsiri
🧝‍♂ abin dabo, jinsiri namiji
🧝‍♀ abin dabo, jinsiri na mace
🧞 aljani, aljanin larabawa
🧞‍♂ aljani, aljanin larabawa namiji
🧞‍♀ aljani, aljanin larabawa na mace
🧟 gaya mai motsi, gaya mai rai, mara mutuwa
🧟‍♂ gaya mai motsi, gaya mai rai namiji, mara mutuwa
🧟‍♀ gaya mai motsi, gaya mai rai na mace, mara mutuwa
💆 fuska, mutum mai samun tausa, shagon gyara gashi, tausa
💆‍♂ fuska, mutum, namiji mai samun tausa, tausa
💆‍♀ fuska, mace, mace mai samun tausa, tausa
💇 aski, kyakkyawa, mai aski, mutum mai yin aski, shagon kyakkyawa
💇‍♂ aski, mutum, namiji mai yin aski
💇‍♀ aski, mace, mace mai yin aski
🚶 mutum mai yin tafiya ƙafa, tafiya ƙafa, tafiyar nishaɗi, yin tafiya ƙafa
🚶‍♂ mutum, namiji mai yin tafiya ƙafa, tafiya ƙafa, tafiyar nishaɗi
🚶‍♀ mace, mace mai yin tafiya ƙafa, tafiya ƙafa, tafiyar nishaɗi
🏃 gudu, gudun dogon zango, mutum mai yin gudu
🏃‍♂ gudu, gudun dogon zango, mutum, namiji mai yin gudu, tsere
🏃‍♀ gudu, gudun dogon zango, mace, mace mai yin gudu, tsere
💃 mace, mace mai yin rawa, rawa
🕺 mutum, mutum mai yin rawa, rawa
🕴 kasuwanci, kwat, mutum, mutum a cikin kwat na kasuwanci mai jewa
👯 kunnen zomo, mai rawa, mutane masu kunnuwan zomo yin biki, yin biki
👯‍♂ kunnen zomo, mai rawa, maza, maza masu kunnuwan zomo yin biki, yin biki
👯‍♀ kunnen zomo, mace, mai rawa, mata masu kunnuwan zomo yin biki, yin biki
🧖 ɗakin surace, mutum a cikin ɗakin surace, sauna
🧖‍♂ ɗakin surace, namiji a cikin ɗakin surace, sauna
🧖‍♀ ɗakin surace, mace a cikin ɗakin surace, sauna
🧗 mai hawa, mutum mai hawa
🧗‍♂ mai hawa, namiji mai hawa
🧗‍♀ mace mai hawa, mai hawa
🤺 mai wasan zorro, mutum wasan zorro, takobi, wasan zorro
🏇 doki, mahayi, sukuwa, tsere
⛷ ɗan wasan ski, ƙanƙara, wasan ski
🏂 allon wasan ƙanƙara, ƙanƙara, ski, snowboarder
🏌 ƙwallo, mutum mai buga wasan golf, wasan golf
🏌‍♂ mutum, namiji mai buga wasan golf, wasan golf
🏌‍♀ mace, mace mai buga wasan golf, wasan golf
🏄 mutum mai hawan allon wasa a kan teku, wasa a kan teku
🏄‍♂ mutum, namiji mai hawan allon wasa a kan teku, wasa a kan teku
🏄‍♀ hawan allo wasa a kan teku, mace, mace mai hawan allon wasa a kan teku
🚣 jirgin ruwa na sauri, jirgin ruwa na tuƙi, mutum mai tuƙa jirgin ruwa
🚣‍♂ jirgin ruwa na sauri, jirgin ruwa na tuƙi, mutum, namiji mai tuƙa jirgin ruwa
🚣‍♀ jirgin ruwa na sauri, jirgin ruwa na tuƙi, mace, mace mai tuƙa jirgin
🏊 mutum mai yin ninƙaya, ninƙaya
🏊‍♂ mutum, namiji mai yin ninƙaya, ninƙaya
🏊‍♀ mace, mace mai yin ninƙaya, ninƙaya
⛹ ƙwallo, mutum mai tambara ƙwallo
⛹‍♂ ƙwallo, mutum, namiji mai tambara ƙwallo
⛹‍♀ ƙwallo, mace, mace mai tambara ƙwallo
🏋 maɗauki, mutum mai ɗaukowa nauyi, nauyi
🏋‍♂ mai ɗaukowa nauyi, mutum, namiji mai ɗaukowa nauyi
🏋‍♀ mace, mace mai ɗaukowa nauyi, mai ɗaukowa nauyi
🚴 keke, mai hawan keke, mutum mai tuƙan babur, tuƙan babur
🚴‍♂ hawan keke, keke, mai hawan keke, mutum, namiji mai tuƙan babur
🚴‍♀ hawan keke, keke, mace, mace mai tuƙan babur, mai hawan keke
🚵 babur, keke, mai hawan keke, mutum tuƙan babur a kan tsauni, tsauni
🚵‍♂ babur, keke, mai hawan keke, mutum, namiji tuƙan babur a kan tsauni, tsauni
🚵‍♀ babur, keke, mace, mace tuƙan babur a kan tsauni, mai hawan keke, mai tuƙan babur, tsauni
🤸 amalanke, ayyukan motsa jiki, mutum tuƙan amalanke
🤸‍♂ amalanke, ayyukan motsa jiki, mutum, namiji tuƙan amalanke
🤸‍♀ amalanke, ayyukan motsa jiki, mace, mace tuƙan amalanke
🤼 kokawa, mai kokawa, mutane kokawa
🤼‍♂ kokawa, maza, maza masu kokawa
🤼‍♀ kokawa, mata, mata masu kokawa
🤽 mutum mai bugan wasan holo na ruwa, wasan holo
🤽‍♂ mutum, namiji mai bugan wasan holo na ruwa, wasan holo na ruwa
🤽‍♀ mace, mace mai bugan wasan holo na ruwa, wasan hoto na ruwa
🤾 ƙwallo, ƙwallon hannu, mutum mai bugan ƙwallon hannu
🤾‍♂ ƙwallon hannu, mutum, namiji mai bugan ƙwallon hannu
🤾‍♀ ƙwallon hannu, mace, mace mai bugan ƙwallon hannu
🤹 daidaita, iyawa, juyawa abu a sama, mutum mai juyawa abu a sama, yawan ayyuka
🤹‍♂ juyawa abu a sama, mutum, mutum juyawa abu, yawan ayyuka
🤹‍♀ juyawa abu a sama, mace, mace mai juyawa abu a sama, yawan ayyuka
🧘 mutum a wurin furen lotus, tsokaci, yoga
🧘‍♂ namiji a wurin furen lotus, tsokaci, yoga
🧘‍♀ mace a wurin furen lotus, tsokaci, yoga
🛀 baho, mutum mai yin wanka, wanka
🛌 barci, hotal, mutum a kan gado
👭 hannu, mace, mata biyu suna riƙewa hannuwa, miji da mata, riƙe
👫 hannu, mace, miji da mata, mutum, namiji da mata suna riƙewa hannuwa, riƙe
👬 Gemini, hannu, maza biyu suna riƙewa hannuwa, miji da mata, mutum, riƙe, tagwai, zodiac
💏 miji da mata, sumba
💑 miji da mata, miji da mata tare da zuciya, soyayya
👪 iyali
🗣 daga kai, fuska, kai, kai mai yin magana, magana, yin magana
👤 daga kai, daga kai har ƙirji, ƙirji
👥 daga kai, daga kanu har ƙirji, ƙirji
👣 buga, sawaye, sawu, sutura
🐵 biri, fuska, fuskar biri
🐒 biri
🦍 birin gorilla
🐶 dabbar gida, fuska, fuskar kare, kare
🐕 dabbar gida, kare
🐩 kare, karen poodle
🐺 fuska, fuskar ƙyarkaci, ƙyarkaci
🦊 fuska, fuskar yanyawa, yanyawa
🐱 dabbar gida, fuska, fuskar kyanwa, kyanwa
🐈 dabbar gida, kyanwa
🦁 fuska, fuskar zaki, Leo, zaki, zodiac
🐯 fuska, fuskar tega, tega
🐅 dabbar tega
🐆 damisa
🐴 doki, fuska, fuskar doki
🐎 dawaki, doki, sukuwa, tsere
🦄 dabbar unicorn, fuska, fuskar dabbar unicorn
🦓 jakin dawa, ratsi
🦌 barewa
🐮 fuska, fuskar saniya, saniya
🐂 bijimi, takarkari, Taurus, zodiac
🐃 ɓauna, ɓaunan ruwa, ruwa
🐄 saniya
🐷 alade, fuska, fuskar alade
🐖 alade, ta-macen alade
🐗 alade, gadu
🐽 alade, fuska, hanci, hancin alade
🐏 Aries, mutum, rago, tunkiya, zodiac
🐑 ta-mace, tunkiya
🐐 akuya, Capricorn, zodiac
🐪 raƙumi, tozo
🐫 bactrian, raƙumi, raƙumi mai tozon biyu, tozo
🦒 ɗige-ɗige, raƙumin dawa
🐘 giwa
🦏 karkanda
🐭 fuska, fuskar kusu, kusu
🐁 kusu
🐀 ɓera
🐹 dabbar gida, dabbar hamster, fuska, fuskar dabbar hamster
🐰 dabbar gida, fuska, fuskar zomo, zomo
🐇 dabbar gida, zomo
🐿 chipmunk
🦔 dabbar hedgehog, mai tsini
🦇 jemage, mai shan jini
