🏻 Hautfaarf, hell Hautfaarf, Typ 1–2
💓 Häerzklappen, klappend, klappend Häerz, Schlag, schloend
💞 dréiend, dréiend Häerzer
💕 Léift, zwee Häerzer
💟 Häerz, Häerzdekoratioun
❣ Ausruff, fettgedréckt Häerzausruffzeechen, Interpunktioun, Zeechen
💔 briechen, gebrach, gebrachent Häerz
❤ Häerz, rout Häerz
🧡 orange, oranget Häerz
💛 giel, gielt Häerz
💚 gréng, gréngt Häerz
💙 blo, blot Häerz
💜 mof, mooft Häerz
🖤 béis, schlecht, schwaarz, schwaarzt Häerz
💯 100, honnert, honnert Punkten, Score, voll
💢 béis, Comic, rosen, Rosereiszeechen
💥 Boom, Comic, Kollisioun
💫 Comic, Schwindel, Stär
💦 Comic, platschen, Schweess, Schweessdrëpsen
💨 Comic, jauwen, lafen, séier fort
🕳 Lach
💣 Bomm, Comic
💬 Ball, Blos, Comic, Dialog, schwätzen, Spriechblos
👁‍🗨 A, A an enger Spriechblos, erkennen, gesinn, Spriechblos
🗨 Dialog, lénks Spriechblos, schwätzen
🗯 Ball, béis, Blos, riets Rosereispriechblos, rosen
💭 Ball, Blos, Comic, Denkblos, Gedanken
💤 Comic, Schlof, zzz
👋 Hand, wénken, wénkend
🤚 Handréck, héichgehalen, héichgehalenen Handréck
🖐 ausgestreckt, Fanger, gehuewen Hand mat ausgestreckte Fanger, Hand
✋ Hand, héichgehalen Hand
🖖 Fanger, Hand, Spock, Vulcan, Vulcan-Grouss
👌 Hand, OK, OK-Handzeechen, Zeechen
✌ Hand, V, Victoire, Victoire-Handzeechen
🤞 Fanger, gekräizt Fanger, Gléck, Hand, kräizen
🤟 Hand, ILY, Léift-Geste
🤘 Fanger, Hand, Haren, Mano cornuta, Harenzeechen, rocken
🤙 Hand, Telefon-Handzeechen, uruffen
👈 Fanger, Hand, no lénks weisende Fanger vun hanne gesinn, Réckhand, weisen, Zeigefanger
👉 Fanger, Hand, no riets weisende Fanger vun hanne gesinn, Réckhand, weisen, Zeigefanger
👆 Fanger, Hand, no uewe weisende Fanger vun hanne gesinn, no uewen, Réckhand, weisen, Zeigefanger
🖕 Fanger, Hand, Mëttelfanger
👇 Fanger, Hand, no ënne weisende Fanger vun hanne gesinn, no ënnen, Réckhand, weisen, Zeigefanger
☝ Fanger, Hand, no uewe weisende Fanger, no uewen, weisen, Zeigefanger
👍 +1, Daum, Daum no uewen, Hand, no uewen
👎 -1, Daum, Daum no ënnen, Hand, no ënnen
✊ boxen, Fauscht, Hand, héichgehale Fauscht, zouen
👊 boxen, entgéintkommend Fauscht, Fauscht, Hand, zouen
🤛 Fauscht, lénksgeriicht
🤜 Fauscht, rietsgeriicht
👏 Hand, klappen, klappend Hänn
🙌 an der Luucht, Feier, Geste, Hand, Hänn an d’Luucht, hurra
👐 Hand, oppen, oppen Hänn
🤲 Gebiet, zesummegefaalten Hänn
🤝 drécken, Hand, Handdrock, Ofkommes, Reunioun
🙏 bieden, froen, gefaalt, gefaalten Hänn, Geste, Hand, Merci, vernäipen, wann ech gelift
✍ Hand, schreiwen, schreiwend Hand
💅 fleegen, Kosmetik, Lack, Manikür, Neel, Neellack
🤳 Handy, Kamera, Selfie
💪 Bizeps, Comic, Muskel, ugespaante Bizeps, uspanen
👂 Kierper, Ouer
👃 Kierper, Nues
🧠 Gehir, intelligent
👀 A, Aen, Gesiicht
👁 A, Kierper
👅 Kierper, Zong
👄 Lëpsen, Mond
👶 Bëbee, jonk, Puppelchen
🧒 jonk, Kand, neutral
👦 Jong, jonk, klengen
👧 Jongfra, jonk, Meedchen, Stärzeechen
🧑 Erwuessenen, neutral
👱 blond, blond Persoun
👨 Mann
🧔 Baart, Persoun mat Baart
👱‍♂ blond, blonde Mann, Mann
👩 Fra
👱‍♀ blond, Blondin, Fra
🧓 al, eeleren Erwuessenen, neutral
👴 al, ale Mann, Mann
👵 al, Fra
🙍 d’Stir fronzend Persoun, fronzen, Geste, Stir
🙍‍♂ d’Stir fronzende Mann, fronzen, Geste, Mann, Stir
🙍‍♀ d’Stir fronzend Fra, Fra, fronzen, Geste, Stir
🙎 Geste, motzen, motzend Persoun
🙎‍♂ Geste, Mann, motzend, motzende Mann
🙎‍♀ Fra, Geste, motzen, motzend Fra
🙅 Geste, Hand, neen, net, Persoun, déi NEEN weist, Verbueden
🙅‍♂ Geste, Hand, Mann, Mann, deen NEEN weist, neen, net, verbueden
🙅‍♀ Fra, Fra, déi NEEN weist, Geste, Hand, neen, net, verbueden
🙆 Geste, Hand, OK, Persoun, déi OK weist
🙆‍♂ Geste, Hand, Mann, Mann, deen OK weist, OK
🙆‍♀ Fra, Fra, déi OK weist, Geste, Hand, OK
💁 frech, Hand, Hëllef, Informatiounen, ophalen, Persoun, déi d’Hand op hält
💁‍♂ frech, Mann, Mann, deen d’Hand op hält, opgehalen Hand
💁‍♀ Fra, Fra, déi d’Hand op hält, frech, opgehalen Hand
🙋 gehuewen, Geste, glécklech, Hand, Persoun, déi d’Hand hieft
🙋‍♂ gehuewen Hand, Geste, Mann, Mann, deen d’Hand hieft
🙋‍♀ Fra, Fra, déi d’Hand hieft, gehuewen Hand, Geste
🙇 entschëllegt, Entschëllegung, Geste, sech vernäipend Persoun, Verneigung
🙇‍♂ entschëllegt, Entschëllegung, Gefalen, Geste, Mann, sech vernäipende Mann, vernäipen
🙇‍♀ entschëllegt, Entschëllegung, Fra, Gefalen, Geste, sech vernäipend Fra, vernäipen
🤦 Frust, Gesiicht, Hand, Persoun, déi sech d’Hand widder de Kapp schléit, Zweiwel
🤦‍♂ entsat, Frust, Mann, Mann, deen sech d’Hand widder de Kapp schléit, Zweiwel
🤦‍♀ entsat, Fra, Fra, déi sech d’Hand widder de Kapp schléit, Frust, Zweiwel
🤷 Ignoranz, Indifferenz, Persoun, déi d’Schëlleren hieft, Schëlleren hiewen, Zweiwel
🤷‍♂ Ignoranz, Indifferenz, Mann, Mann, deen d’Schëlleren hieft, Schëlleren hiewen, Zweiwel
🤷‍♀ Fra, Fra, déi d’Schëlleren hieft, Ignoranz, Indifferenz, Schëlleren hiewen, Zweiwel
👨‍⚕ Dokter, Gesondheet, Infirmier, Mann, Medeziner, Therapeut
👩‍⚕ Dokter, Fra, Gesondheet, Infirmière, Medezinerin, Therapeut
👨‍🎓 Absolvent, diploméiert, Mann, Student
👩‍🎓 Absolventin, diploméiert, Fra, Studentin
👨‍🏫 Enseignant, Mann, Professer, Schoulmeeschter
👩‍🏫 Enseignante, Fra, Professer, Schoulmeeschtesch
👨‍⚖ Geriicht, Justiz, Riichter, Wo
👩‍⚖ Fra, Riichterin, Wo
👨‍🌾 Bauer, Gäertner, Mann, Véiziichter
👩‍🌾 Bauerefra, Fra, Gäertnerin, Véiziichterin
👨‍🍳 Chef, Chefkach, Kach, Mann
👩‍🍳 Cheffin, Chefkächen, Fra, Kächen
👨‍🔧 Elektriker, Handwierker, Installateur, Mann, Mecanicien
👩‍🔧 Elektrikerin, Fra, Handwierkerin, Installatrice, Mecanicienne
👨‍🏭 Aarbechter, Fabrik, Industrie, Mann, Montage
👩‍🏭 Aarbechterin, Fabrik, Fra, Industrie, Montage
👨‍💼 Architekt, Büro, Employé, Geschäft, Manager, Mann
👩‍💼 Architektin, Büro, Employée, Fra, Geschäft, Managerin
👨‍🔬 Biolog, Chemiker, Ingenieur, Mann, Mathematiker, Physiker, Wëssenschaftler
👩‍🔬 Biolog, Chemikerin, Fra, Ingenieur, Mathematikerin, Physikerin, Wëssenschaftlerin
👨‍💻 Coder, Entwéckler, Erfinder, Mann, Software, Techniker
👩‍💻 Coderin, Entwécklerin, Erfinderin, Fra, Software, Technikerin
👨‍🎤 Entertainer, Mann, Rock, Sänger, Schauspiller, Star
👩‍🎤 Entertainerin, Fra, Rock, Sängerin, Schauspillerin, Star
👨‍🎨 Kënschtler, Mann, Palett
👩‍🎨 Fra, Kënschtlerin, Palett
👨‍✈ Fliger, Mann, Pilot
👩‍✈ Fliger, Fra, Pilotin
👨‍🚀 Astronaut, Mann, Rakéit
👩‍🚀 Astronautin, Fra, Rakéit
👨‍🚒 Mann, Pompjee, Pompjeeswon
👩‍🚒 Fra, Pompjee, Pompjeesfra, Pompjeeswon
👮 Flick, Police, Polizist, Polizist(in)
👮‍♂ Flick, Mann, Police, Polizist
👮‍♀ Flick, Fra, Police, Polizistin
🕵 Detektiv, Detektiv(in), Spioun
🕵‍♂ Detektiv, Mann, Spioun
🕵‍♀ Detektivin, Fra, Spiounin
💂 Wiechter(in)
💂‍♂ Mann, Wiechter
💂‍♀ Fra, Wiechterin
👷 Aarbechter, Bau, Bauaarbechter(in) mat Helm, Hutt
👷‍♂ Aarbechter, Bau, Bauaarbechter, Mann
👷‍♀ Aarbechterin, Bau, Bauaarbechterin, Fra
🤴 Prënz
👸 Fantasie, Mäerchen, Prinzessin
👳 Persoun mat Turban, Turban
👳‍♂ Mann, Mann mat Turban, Turban
👳‍♀ Fra, Fra mat Turban, Turban
👲 gua pi mao, Hutt, Mann, Mann mat chineseschem Hutt
🧕 Fra mat Schleier, Hijab, Kappduch, Schleier, Voile
🤵 Bräitchemann, Kostüm, Mann, Mann am Kostüm
👰 Braut, Braut mat Schleier, Hochzäit, Schleier
🤰 Fra, schwanger
🤱 Bëbee, Broscht, fleegen, stëllend Fra
👼 Bëbee, Engel, Engelchen, Fantasie, Gesiicht, Mäerchen, Puppelchen
🎅 Chrëschtdag, Feier, Kleeschen, Papp
🤶 Chrëschtdag, Dem Kleesche seng Fra, Feier, Fra, Kleeschen, Mamm
🧙 Hex, Hexemeeschter, Zauberer, Zauberer(in)
🧙‍♂ Hexemeeschter, Zauberer
🧙‍♀ Hex
🧚 Fee, Oberon, Puck, Titania
🧚‍♂ männlech Fee, Oberon, Puck
🧚‍♀ Titania, weiblech Fee
🧛 Dracula, ondout, Vampir
🧛‍♂ Dracula, ondout, Vampirmann
🧛‍♀ ondout, Vampirfra
🧜 Mierjonfra, Miermann, Mierpersoun
🧜‍♂ Miermann, Triton
🧜‍♀ Mierfra, Mierjongfra
🧝 Elf, magesch
🧝‍♂ Elfemann, magesch
🧝‍♀ Elfefra, magesch
🧞 Djinn, Genie
🧞‍♂ Djinn, Geniemann
🧞‍♀ Djinn, Geniefra
🧟 ondout, Zombie
🧟‍♂ ondout, Zombie, Zombiemann
🧟‍♀ ondout, Zombie, Zombiefra
💆 Gesiicht, Massage, Persoun, déi eng Kappmassage kritt, Salon
💆‍♂ Gesiicht, Mann, Mann, deen eng Kappmassage kritt, Massage
💆‍♀ Fra, Fra, déi eng Kappmassage kritt, Gesiicht, Massage
💇 Coiffer, Coupe, Hoer, Persoun, déi d’Hoer geschnidde kritt, Salon, Schéinheet, schneiden
💇‍♂ Coupe, Hoer, Mann, Mann, deen d’Hoer geschnidde kritt, schneiden
💇‍♀ Coupe, Fra, Fra, déi d’Hoer geschnidde kritt, Hoer, schneiden
🚶 spadséieren, spadséierend, spadséierend Persoun, wanderen
🚶‍♂ Mann, spadséieren, spadséierende Mann, wanderen
🚶‍♀ Fra, spadséieren, spadséierend Fra, wanderen
🏃 lafen, lafend Persoun, Marathon
🏃‍♂ Course, lafen, lafende Mann, Mann, Marathon
🏃‍♀ Course, Fra, lafen, lafend Fra, Marathon
💃 danzend, Fra
🕺 danzen, danzende Mann, Mann
🕴 Geschäft, Kostüm, levitéierende Man am Kostüm, Mann
👯 Dänzer, feieren, Huesoueren, Party, Persoun mat Huesoueren
👯‍♂ Dänzer, feieren, Huesoueren, Männer, Männer mat Huesoueren, Party
👯‍♀ Dänzerin, feieren, Frae mat Huesoueren, Fraen, Huesoueren, Party
🧖 Dampbad, Persoun am Dampbad, Sauna
🧖‍♂ Dampbad, Mann am Dampbad, Sauna
🧖‍♀ Dampbad, Fra am Dampbad, Sauna
🧗 Biergsteiger, Klëmmer(in)
🧗‍♂ Biergsteiger, Klëmmer
🧗‍♀ Biergsteiger, Klëmmerin
🤺 fechten, fechtend Persoun, Fechter, Schwäert
🏇 Course, Coursepäerd, Jockey, Päerd, Päerdscourse
⛷ Schnéi, Ski, Skifuerer
🏂 Schnéi, Ski, Snowboard, Snowboarder
🏌 Ball, Golf, Golferspiller
🏌‍♂ Golf, Golfer, Mann
🏌‍♀ Fra, Golf, Golferin
🏄 Surfen, Surfer(in)
🏄‍♂ Mann, Surfen, Surfer
🏄‍♀ Fra, Surfen, Surferin
🚣 Boot, Rudderboot, rudderend Persoun
🚣‍♂ Boot, Mann, Rudderboot, rudderende Mann
🚣‍♀ Boot, Fra, Rudderboot, rudderend Fra
🏊 schwammen, Schwëmmer(in)
🏊‍♂ Mann, schwammen, Schwëmmer
🏊‍♀ Fra, schwammen, Schwëmmerin
⛹ Ball, mam Ball dribbelend Persoun
⛹‍♂ Ball, mam Ball dribbelende Mann, Mann
⛹‍♀ Ball, Fra, mam Ball dribbelend Fra
🏋 Gewiicht, Gewiichthiewer(in), Hiewer
🏋‍♂ Gewiichthiewer, Mann
🏋‍♀ Fra, Gewiichthiewer, Gewiichthiewerin
🚴 Vëlo, Vëlofueren, Vëlosfuerer, Vëlosfuerer(in)
🚴‍♂ Mann, Vëlo, Vëlofueren, Vëlosfuerer
🚴‍♀ Fra, Vëlo, Vëlofueren, Vëlosfuerer, Vëlosfuererin
🚵 Bierg, Mountainbike, Mountainbikesfuerer(in), Vëlo, Vëlofueren, Vëlosfuerer
🚵‍♂ Bierg, Mann, Mountainbike, Mountainbikesfuerer, Vëlo, Vëlofueren, Vëlosfuerer
🚵‍♀ Bierg, Fra, Mountainbike, Mountainbikesfuererin, Vëlo, Vëlofueren, Vëlosfuerer
🤸 Persoun, déi d’Rad schléit, Rad, Turnen
🤸‍♂ Mann, Mann, deen d’Rad schléit, Rad, Turnen
🤸‍♀ Fra, Fra, déi d’Rad schléit, Rad, Turnen
🤼 catchen, Wrestler, Wrestling
🤼‍♂ catchen, Männer, Wrestler
🤼‍♀ catchen, Fraen, Wrestlerinnen
🤽 Polo, Waasser, Waasserballspiller(in)
🤽‍♂ Mann, Waasserball, Waasserballspiller
🤽‍♀ Fra, Waasserball, Waasserballspillerin
🤾 Ball, Handball, Handballspiller(in)
🤾‍♂ Handball, Handballspiller, Mann
🤾‍♀ Fra, Handball, Handballspillerin
🤹 Geschéck, Gläichgewiicht, jongléieren, jongléierend Persoun, Multitasking
🤹‍♂ jongléieren, jongléierende Mann, Mann, Multitasking
🤹‍♀ Fra, jongléieren, jongléierend Fra, Multitasking
🧘 Meditatioun, Persoun a Lotuspositioun, Yoga
🧘‍♂ Mann a Lotuspositioun, Meditatioun, Yoga
🧘‍♀ Fra a Lotuspositioun, Meditatioun, Yoga
🛀 Bidden, Buedbidden, Persoun an der Bidden
🛌 Hotel, Persoun am Bett, schlofen
👭 Fra, halen, Hand, Koppel, zwou Fraen Hand an Hand
👫 Fra, halen, Hand, Koppel, Mann, Mann a Fra Hand an Hand
👬 halen, Hand, Koppel, Mann, Stärzeechen, zwee Männer Hand an Hand, Zwilling, Zwillingen
💏 Koppel, Kuss
💑 Koppel, Léift, verléift Koppel
👪 Famill
🗣 Gesiicht, Kapp, schwätzen, schwätzend, schwätzende Kapp, Silhouette
👤 Büst, mënschlech, Silhouette
👥 Büst, mënschlech, mënschlech Silhouetten, Silhouette
👣 Foussofdréck, Foussofdrock, Kleeder, Ofdrock
🐵 Af, Afegesiicht, Gesiicht
🐒 Af
🦍 Gorilla
🐶 Gesiicht, Hausdéier, Hond, Hondsgesiicht
🐕 Hausdéier, Hond
🐩 Hond, Puddel
🐺 Gesiicht, Wollef, Wollefsgesiicht
🦊 Fuuss, Fuussgesiicht, Gesiicht
🐱 Gesiicht, Hausdéier, Kaz, Kazegesiicht
🐈 Hausdéier, Kaz
🦁 Gesiicht, Léif, Léifsgesiicht, Stärzeechen
🐯 Gesiicht, Tiger, Tigersgesiicht
🐅 Tiger
🐆 Leopard
🐴 Gesiicht, Päerd, Päerdsgesiicht
🐎 Course, Coursepäerd, Päerd, reiden
🦄 Einhorn, Einhornsgesiicht, Gesiicht
🦓 Sträif, Zebra
🦌 Hirsch
🐮 Gesiicht, Kou, Kousgesiicht
🐂 Ochs, Stärzeechen, Stéier
🐃 Büffel, Waasser, Waasserbüffel
🐄 Kou
🐷 Gesiicht, Schwäin, Schwéngsgesiicht
🐖 Sau, Schwäin
🐗 Schwäin, Wëllschwäin
🐽 Gesiicht, Nues, Schwäin, Schwéngsnues
🐏 Männchen, Schof, Stärzeechen, Widder
🐑 Mudder, Mudderschof, Schof, Weibchen
🐐 Geess, Stärzeechen, Steebock
🐪 Bockel, Dromedar
🐫 Bockel, Kaméil, zwee
🦒 Flecken, Giraff
🐘 Elefant
🦏 Nashorn
🐭 Gesiicht, Maus, Mausgesiicht
🐁 Maus
🐀 Rat
🐹 Gesiicht, Hamster, Hamstersgesiicht, Hausdéier
🐰 Gesiicht, Hausdéier, Hues, Huesgesiicht, Kanéngchen
🐇 Hausdéier, Hues, Kanéngchen
🐿 Kaweechelchen
🦔 däreg, Kéiseker
🦇 Fliedermaus, Vampir
🐻 Bier, Bieregesiicht, Gesiicht
🐨 Bier, Koalabier
🐼 Gesiicht, Panda, Pandasgesiicht
🐾 Féiss, Ofdrock, Patt, Pattenofdréck
🦃 Schnuddelhong, Vugel
🐔 Hong, Vugel
🐓 Hunn, Vugel
🐣 am Ee, Bëbee, Hong, Jippelchen, Jippelchen am Ee, kleng, Vugel
🐤 Bëbee, Hong, Jippelchen, Vugel
🐥 Bëbee, Hong, Jippelche vu vir, Jippelchen, Vugel
🐦 Vugel
🐧 Pinguin, Vugel
🕊 Dauf, fléien, Fridden, Vugel
🦅 Adler, Vugel
🦆 Int, Vugel
🦉 Eil, klug, Vugel
🐸 Fräsch, Fräschegesiicht, Gesiicht
🐊 Krokodil
🐢 Deckelsmouk, Douseschildkröt, Schildkröt
🦎 Eidechs, Reptil
🐍 Ophiuchus, Schlaang, Schlaangenträger, Stärzeechen
🐲 Draach, Draachegesiicht, Gesiicht, Mäerchen
🐉 Draach, Mäerchen
🦕 Brachiosaurus, Brontosaurus, Dinosaurier, Diplodokus
🦖 T-Rex, Tyrannosaurus Rex
🐳 Gesiicht, sprëtzend, sprëtzende Wal, Wal
🐋 Wal
🐬 Delfin, Flipper
🐟 Fësch, Stärzeechen
🐠 Fësch, tropesch, tropesche Fësch
🐡 Fësch, Kugelfësch
🦈 Fësch, Hai
🐙 Tëntefësch
🐚 Muschel, Spiral, Spiralmuschel
🐌 Schleek
🦋 Insekt, Päiperlek, schéin
🐛 Insekt, Kiewerlek
🐜 Insekt, Seejomes
🐝 Bei, Insekt
🐞 Himmelsdéierchen, Insekt, Kiewerlek
🦗 Cricket, Heesprénger
🕷 Insekt, Spann
🕸 Netz, Spann, Spannennetz
🦂 Skorpioun, Stärzeechen
💐 Blumm, Blummebouquet
🌸 Bléi, Blumm, Kiischt, Kiischtebléi
💮 Blumm, wäiss Blumm
🏵 Planz, Rosett
🌹 Blumm, Rous
🥀 Blumm, verwielegt
🌺 Blumm, Hibiskus
🌻 Blumm, Sonn, Sonneblumm
🌼 Blumm, Margréitchen
🌷 Blumm, Tulp
🌱 jonk, Keimling
🌲 Bam, Dännebam
🌳 Bam, falen, Laf, Lafbam
🌴 Bam, Palm
🌵 Kaktus, Planz
🌾 Hallem, Kär, Räis, Räishallem
🌿 Blat, Kräider
☘ Kléi, Planz
🍀 4, Blat, Kléi, véier, véierbliederegt Kléiblat
🍁 Ahorn, Ahornblat, Blat, falend
🍂 Blat, falend, Hierschtblat
🍃 am Wand fléiend Blat, Blat, blosen, fléien, Wand
🍇 Drauf, Drauwen, Uebst
🍈 Meloun, Uebst
