{ ሓጹር, ክፉት ዕኽሉል ሓጹር, ዕኽሉል ሓጹር, ደገፈ, ጋልዊንግ
_ መስመር, ታሕተዋይ መስመር, ታሕተዋይ ዳሽ, ዝተሰመረ, ዳሽ, ዳሽ ዝተገብረ
- ሃይፈን-ዝጎደሎ, ህይፈን, ዝጎደለ, ዳሽ
‐ ሃይፈን, ዳሽ
– አን, ዳሽ
— አም, ዳሽ
― መስመር, ሽራጥ, ዳሽ, ጎድናዊ ሽራጥ
・ ማእከላይ ዶት, ማእከላይ ዶት ናይ ካታካና, ካታካና, ውሽጣዊ ስርዓተ-ነጥቢ, ዶትስ
, ኮማ
⇆ ምልክት, የማን, ጸጋማይ-ጫፍ ኣብ ልዕሊ የማናይ-ጫፍ ምልክት, ጸጋም
∆ ስሉስ ኩርናዕ, ወሰኽ
∇ ስሉስ ኩርናዕ, ናብላ
∈ ባእታ, ባእታ ናይ, ኣባልነት, እኩብ, የጠቃልል
+ ምልክት ምድማር, ምድማር
± ምድማር-ምጉዳል
÷ ምልክት ምምቃል, ምምቃል, ኦበልዩስ
× ምልክት ምርባሕ, ምርባሕ
< ላቔባ, ላቔባ ምክፋት, ይንእስ
= ልክዕ
≠ ልክዕ ዘይኮነ, ማዕርነት
> ላቔባ, ላቔባ ምዕጻው, ይዓቢ
¬ ኣሉታ, ኣይኮነን
| vሕንጣጥ, ሕንጣጥ, መስመር, ሰፈር ወቕዒ, በትሪ, ቱቦ, ትኹል ሕንጻጽ, ወቅዒ, ጭማራ
~ ቲልደ
− ምልክት ምጉዳል, ምጉዳል
⁻ ልዕለ-ውራቕ, ምጉዳል
√ መልሲ, ሱርድ, ትርብዒት, ትርብዒትe
∞ ምልክት ደረት ኣልቦነት, ደረት ኣልቦነት
∩ ምምሕልላፍ, እኩብ
∪ እኩብ
≈ ምቅርራብ, ተቃራራቢ, ዳርጋ ልክዕ
≡ ልክዕ, ስልሲት, ተመሳሳሊ, ተመሳሳሊ ን
≤ ማዕረ, ማዕርነት, ይንእስ, ይንእስ ወይ ማዕረ
≥ ማዕረ, ማዕርነት, ንላዕሊ ወይ ማዕረ
⊂ ንኡስ እኩብ, ንኡስ እኩብ ናይ, እኩብ
▲ መልአ, ምልክት, ስሉስ ኩርናዕ, ንላዕሊ, ንላዕሊ-ዝጠመተ ስሉስ ኩርናዕ መልአ
▼ መላአ, ምልክት, ንታሕቲ, ንታሕቲ-ዝጠመተ ስሉስ, ንታሕቲ-ዝጠመተ ስሉስ ኩርናዕ መልአ
◊ ሎዘንገ, ሮምቡስ, ኣልማዝ
○ ቀለቤት, ክፉት ዓንኬል, ዓንኬል
● ዓንኬል, ዓንኬል መልአ
◯ ቀለቤት, ዓቢ ክፉት ዓንኬል, ዓንኬል
♪ ሙዚቃ, ሻሙናይ, ጽሑፍ
♭ ሙዚቃ, በሞለ, ጸፊሕ, ጽሑፍ
♯ ሙዚቃ, በሊሕ, ዴሲስ, ዴስ, ጽሑፍ
🏧 atm, ምልክት ATM, ቅልጡፍ, ባንክ, ተሓዚ ገንዘብ
🚮 ኣብ ምልክት ናይ መጉሓፊ, ጎሓፍ, ጎሓፍ መጉሓፊ, ጎሓፍ ኣብ ምልክት ናይ መጉሓፊ
🚰 ማይ, ዝስተ, ጽሩይ
♿ ምልክት, ምልክት ናይ መበጻጽሒ ሰድያ, ናይ መበጻጽሒ ሰድያ
🚹 wc, ሰብኣይ, ሽቃቅ, ናይ ክዳውንቲ መሕጸቢ ኣቕሓ, ክፍሊ ሰብኡት, ክፍሊ ናይ ሰብኣይ
🚺 wc, ሰበይቲ, ሽቃቅ, ናይ ክዳውንቲ መሕጸቢ ኣቕሓ, ክፍሊ ናይ ኣንስቲ
🚻 WC, ሽቃቅ, ናይ ክዳውንቲ መሕጸቢ ኣቕሓ
🚼 ምልክት ናይ ቆልዓ, ምልዋጥ, ቆልዓ
🚾 wc, መዕቆሪ, ማይ, ሽቃቅ, ናይ ክዳውንቲ መሕጸቢ ኣቕሓ
🛂 ቁጽጽር, ናይ ፓስስፖርት ቁጽጽር, ፓስፖርት
🛃 ጉምሩክ
🛄 መበጻጽሒ, መበጻጽሒ ሳንጣ, ባልጃ/ሳንጣ
🛅 መዕጸዊ, ሳንጣ, ባልጃ, ጸጋማይ ሳንጣ
⚠ መጠንቀቕታ
🚸 መሕለፊ, ቆልዑ, ትራፊክ, ኣጋር
⛔ መእተዊ, ምእታው ክልኩል, ትራፊክ, ኣይኮነን, ዝተኣገደ
🚫 ብሽክለታ, ብሽክለታ ኣይፍቀድን, ኣይኮነን, ዝተኣገደ
🚳 ብሽክለታ, ብሽክለታ ኣይፍቀድን, ኣይኮነን, ዝተኣገደ
🚭 ሽጋራ, ሽጋራ ኣይፍቀድን, ኣይኮነን, ዝተኣገደ
🚯 መጉሓፊ, ምጉሓፍ ኣይፍቀድን, ኣይኮነን, ዝተኣገደ
🚱 ማይ, ዘይጽሩይ
🚷 ኣይኮነ, ኣይኮነን, ኣጋር, ኣጋር የለዉን, ዝተኣገደ
📵 ተለፎን, ተንቀሳቃሲ ተለፎን, ተንቀሳቃሲ ተለፎን ኣይፍቀድን, ኣይኮነን, ዝተኣገደ
🔞 18, ትሕቲ 18 ዝዕድሚኦም ኣይኮኑን, ትሕቲ ዕድመ, ዝተኣገደ, ገደብ ዕድመ
☢ ምልክት, ጸርገ-ንጥፈት
☣ ምልክት, ናይ ሓደጋ
⬆ ምልክት, ምልክት ናብ ላዕሊ, ሰሜን, ኣንፈት, ካርዲናል
↗ ምልክት, ምልክት ናብ-የማናይ ላዕሊ, ሰሜናዊ ምብራቅ, ኣንፈት, ውሽጣዊ ናይ ካርዲናል
➡ ምልክት, ምብራቅ, ኣንፈት, ካርዲናል, የማናይ ምልክት
↘ ምልክት, ምልክት ናብ-የማናይ ታሕቲ, ኣንፈት, ውሽጣዊ ናይ ካርዲናል, ደቡባዊ ምብራቅ
⬇ ምልክት, ምልክት ናብ ታሕቲ, ታሕቲ, ኣንፈት, ካአዲናል, ደቡብ
↙ ምልክት, ምልክት ናብ-ጸጋማይ ታሕቲ, ኣንፈት, ውሽጣዊ ናይ ካርዲናል, ደቡባዊ ምዕራብ
⬅ ምልክት, ምልክት ናብ-ጸጋም, ምዕራብ, ኣንፈት, ካርዲና፡
↖ ምልክት, ምልክት ናብ-ጸጋማይ ላዕሊ, ሰሜናዊ ምዕራብ, ኣንፈት, ውሽጣዊ ናይ ካርዲናል
↕ ምልክት, ምልክት ናብ-ላዕሊ ታሕቲ
↔ ምልክት, ምልክት ናብ-የማን ጸጋም
↩ ምልክት, የማናይ ምልክት ናብ ጸጋም ዝተጠውየ
↪ ምልክት, ጸጋማይ ምልክት ናብ የማን ዝተጠውየ
⤴ ምልክት, የማናይ ምልክት ናብ ላዕሊ ዝተጠውየ
⤵ ምልክት, ታሕቲ, የማናይ ምልክት ናብ ታሕቲ ዝተጠውየ
🔃 ምልክት, እንደገና ምጽዓን, ከመ ሰዓት, ከመ ሰዓት ዝዘውር ትኹል ምልክት
🔄 withershins, ምልክት, ኣንጻር ሰዓት, ኣንጻር ሰዓት ዝዘውር ትኹል ምልክት መልጎም
🔙 ምልክት, ዳሕረዋይ ምልክት, ድሕሪት
🔚 መወዳእታ, መወዳእታ ናይ ምልክት, ምልክት
🔛 መፈለጥታ, ምልክት, ኣብ ልዕሊ, ኣብ ልዕሊ! ምልክት
🔜 ምልክት, ቕልጡፍ
🔝 ላዕለዋይ, ምልክት, ንላዕሊ
🛐 ናይ ኣምልኾ ቦታ, ኣምልኾ, እምነት
⚛ ናይ ኣቶም ኣርማ, ኣቴስት, ኣቶም
🕉 om, ሂንዱ, እምነት
✡ ኣይሁድ, እምነት, ኮኾብ, ኮኾብ ናይ ዳዊት, ዳዊት
☸ መንኮርኮር, መንኮርኮር ናይ ዳርማ, ቡድሂስት, እምኘጥ, ዳርማ
☯ ተኸታሊ ታኦ, ታኦ, እምነት, ዪን, ያንግ
✝ ሃይማኖት, መስቀል, ናይ ላቲን መስቀል, ክርስትያን
☦ ሃይማኖት, መስቀል, ናይ ኦርቶዶክስ መስቀል, ክርስትያን
☪ ሃይማኖት, ምስልምና, ሞስሊም, ኮኾብ ከምኡ`ውን ቅርጺ ማዕጺድ
☮ ሰላም, ናይ ሰላም ኣርማ
🕎 7 ቀንዴል, ሃይማኖት, ቀንዴል
🔯 ነጥብጣብ 6-ጫፍ ኮኾብ, ኮኾብ, ዕድል
♈ ራም, ኣሬስ, ዞድያክ
♉ Taurus, zodiac, ብዕራይ, ታውሩስ, ኣርሓ
♊ ማንታ, ዞድያክ, ጀሚኒ
♋ መንሽሮ, መንሾ, ክሮብ, ዞድያክ
♌ ሊዮ, ሌዮ, ኣንበሳ, ዞድያክ
♍ ቪርጎ, ዞድያክ
♎ ሊብራ, ምጡን, ስካይልስ, ዞድያክ, ፍትሒ
♏ ስኮርፒዩስ, ስኮርፕዮ, ዕንቅርቢት, ዞድያክ
♐ ሲጊታሩስ, ኣንከር, ዞድያክ
♑ ወጠጦ, ዞዲያክ, ጤል
♒ መበጻጽሒ, ማይ, ኣክዋርዩስ, ዞድያክ
♓ ዓሳ, ዞድያክ, ፒስከስ
⛎ መበጻጽሒ, ሰርፐንት, ተመን, ኦፊኩስ, ዞድያክ
🔀 ምልክት, ዝተሓላለፈ, ዝተሓላለፈ ምልክታት መልጎም, ዝተሓላለፈ ምልክታትመልጎም
🔁 መምለሲ መልጎም, መድገሚ መልጎም, ምልክት, ምድጋም, ከመ ሰዓት
🔂 ሓደ ግዜ, መድገሚ ንጽል መልጎም, ኣንፈት, ከመ ሰዓት
▶ መጻወቲ መልጎም, ምልክት, ስሉስ ኩርናዕ, የማን, ጸወታ
⏩ መሕለፊ, መቀላጥፊ መልጎም, ምልክት, ቅልጡፍ, ድርብ
⏭ መሰጋገሪ መልጎም, መጻኢ ሙዚቃ, መጻኢ ሙዚቃ መልጎም, መጻኢ ርእየት, ምልክት, ስሉስ ኩርናዕ
⏯ መጻወቲ ወይ መዕጸዊ መልጎም, ምልክት, ምዕጻው, ስሉስ ኩርናዕ, የማን, ጸወት መጻወቲ ወይ መዕጸዊ መልጎም
◀ መምለሲ መልጎም, ምልክት, ምምላስ, ስሉስ ኩርናዕ, ጸጋም
⏪ ምልክት, ምምላስ, ቅልጡፍ መምለሲ መልጎም, ድርብ
⏮ ሕሉፍ ሙዚቃ, ሕሉፍ ርእየት, ምልክት, ስሉስ ኩርናዕ, ናይ መወዳእታ መልጎም
🔼 መልጎም, ምልክት, ቀይሕ, ኣንቃዕራሪ መልጎም
⏫ መቀላጠፊ መልጎም, ምልክት, ድርብ
🔽 መልጎም, ምልክት, ቀይሕ, ታሕቲ, ኣንቈልቋሊ መልጎም
⏬ ምልክት, ቅልጡፍ ኣንቈልቋሊ መልጎም, ታሕቲ, ድርብ
⏸ መዕጸዊ, መዕጸዊ መልጎም, ሽራጥ, ትኹል, ድርብ
⏹ መጥፍኢ መልጎም, ትርብዒት, ጠጠው, ጠጠው መበሊ መልጎም
⏺ መዐቀቢ መልጎም, ምዕቃብ, ዓንኬል
⏏ መትፍኢ መልጎም, ምትፋእ
🎦 ሲነማ, ተንቀሳቃሲ ስእሊ, ካሜራ, ፊልም
🔅 ሒደት, መደበኒ መልጎም, ብርሃን, ደባን
🔆 ምብራህ, ብሩህ, ብሩህ መልጎም
📶 ሽራጥ, ተለፎን, ተንቀሳቃሲ ተለፎነ, ናይ ኣንተና ሽራጣት, ኣንተና
📳 ሃለዋት, ተለፎን, ነዝነዝታ, ነዝነዝታዊ ሃለዋት
📴 ምዕጻው, ተለፎን, ተንቀሳቃሲት ተለፎን ምዕጽው
♀ ሰበይቲ, ናይ ጋል-ኣንስተይቲ ምልክት
♂ ናይ ወዲ-ተባዕታይ ምልክት, ወዲ-ተባዕታይ
⚧ ጸታ ዝቀየሩ, ጸታ ዝቀየሩ ምልክት
✖ ×, x, ሕሳብ, ምልክት, ምርባሕ, ምጥፋእ
➕ +, ሕሳብ, ምልክት, ምድማር
➖ -, −, ሕሳብ, ምልክት, ምጉዳል
➗ ÷, ሕሳብ, ምልክት, ምምቃል
♾ ዓለም-ለኻዊ, ደረት ኣልቦነት
‼ !, !!, ምልክት, ስምዒት, ባንግባንግ, ድርብ ምልክት ስምዒት
⁉ !, ቀይሕ ምልክት ሕቶ
❓ ቀይሕ ምልክት ሕቶ, ጻዕዳ ምልክት ሕቶ
❔ ?, ምልክት, ምልክት ሕቶ, ንድፊ, ንድፊ ሕቶ, ጻዕዳ, ጻዕዳ ምልክት ሕቶ
❕ !, ምልክት, ስምዒት, ንድፊ, ጻዕዳ ምልክት ስምዒት
❗ !, ምልክት, ስምዒት, ስርዓተ-ነጥብታት, ቀይሕ ምልክት ስምዒት
〰 ሞገዳዊ, ስርዓተ-ነጥብታት, ዳሽ
💱 ለውጢ, ባንክ, ገንዘብ
💲 ከቢድ ምልክት ናይ ዶላር, ዶላር, ገንዘብ
⚕ ኣርማ ሕክምና, ኣስኩልፒዩስ, ኣባላት, ፈውሲ
♻ ረሳይክል, ኣርማ ረሳይክል
⚜ fleur-de-lis
🔱 መልህቕ, መርክብ, መሳርሒ, ትሪደንት, ኣርማ
📛 ሽም, ባድጀ
🔰 ቆጽሊ, ቸቭሮን, ጀማሪ, ጃፓናዊ, ጃፓናዊ ምልክት ን ጀማሪ
⭕ o, ቀይሕ, ክፉት ቀይሕ ዓንኬል, ዓቢ, ዓንኬል
✅ ✓, መልጎም, ምልክት, ኣረጋግጽ
☑ ✓, ሳንዱቕ, ነቲ ሳንዱቕ ኣረጋግጾ, ኣረጋግጾ
✔ ✓, ምልክት, ኣረጋግጽ
❌ ×, x, ምልክት, ምርባሕ, ሰረዘ, ተማሓላላፊ
❎ ×, x, ምልክት, ተማሓላላፊ ምልክት መልጎም, ትርብዒት
➰ ዕኽሉል ጥውይዋይ, ጥውይዋይ
➿ ድርብ, ድርብ ዕኽሉል ጥውይዋይ, ጥውይዋይ
〽 ምልክት, ኣማራጺ ምልክት ክፋል, ክፋል
✳ *, ሻሙናይ-መሳልል ኣስተሪስክ, ኣስተሪስክ
✴ *, ሻሙናይ-ነጥቢ ኮኾብ, ኮኾብ
❇ *, ኣብለጭላጪ
© c, መሰል ደራሲ
® r, ምዝጉብ
™ tm, ምልክት, ምልክት ንግዲ
🔠 ABCD, ላቲን, ቃላት, ናይ ላቲን ዓበይቲ-ቃላት ኣእቱ, ኣእቱ, ዓበይቲ-ቃላት
🔡 abcd, ላቲን, ቃላት, ነኣሽቱ-ቃላት, ናይ ላቲን ነኣሽቱ-ቃላት ኣእቱ, ኣእቱ
🔢 1234, ቁጽርታት, ኣእቱ
🔣 〒♪&amp;%, ኣርማታት ኣእቱ, ኣእቱ
🔤 abc, ላቲን, ቃላት, ኣእቱ
🅰 a, A መልጎም (ዓይነት ደም), ዓይነት ደም
🆎 ab, AB መልጎም (ዓይነት ደም), ዓይነት ደም
🅱 b, B መልጎም (ዓይነት ደም), ዓይነት ደም
🆑 cl, CL መልጎም
🆒 cool, COOL መልጎም
🆓 ክፉት, ክፉት መልጎም
ℹ i, ሓበሬታ
🆔 id, ID መልጎም, መንነት
Ⓜ m, ዓንኬላ, ዓንኬላዊ M, ዓንኬል M
🆕 ሓዲሽ, ሓዲሽ መልጎም
🆖 ng, NG መልጎም
🅾 o, O መልጎም (ዓይነት ደም), ዓይነት ደም
🆗 OK, OK መልጎም
🅿 P መልጎም, ፓርኪን
🆘 sos, SOS መልጎም, ሓገዝ
🆙 ምልክት, ንላዕሊ, ንላዕሊ! መልጎም
🆚 vs, VS መልጎም, ብመንጽር
🈁 “ኣብዚ”, ናይ ጃፓን, ናይ ጃፓን “ኣብዚ” መልጎም, ካታካና, ココ
🈂 “ክፍሊት ኣገልግሎት”, ናይ ጃፓን, ናይ ጃፓን “ክፍሊት ኣገልግሎት” መልጎም, ካታካና, サ
🈷 “ወርሓዊ ድምር”, ናይ ጃፓን, ናይ ጃፓን “ወርሓዊ ድምር” መልጎም, ኣይድዮግራፍ, 月
🈶 ““ነጻ ዘይኮነ ክፍሊት”, ናይ ጃፓን, ናይ ጃፓን “ነጻ ዘይኮነ ክፍሊት” መልጎም, ኣይድዮግራፍ, 有
🈯 “ዝተዓቀበ”, ናይ ጃፓን, ናይ ጃፓን “ዝተዓቀበ” መልጎም, ኣይድዮግራፍ, 指
🉐 “ምውጋይ”, ናይ ጃፓን, ናይ ጃፓን “ምውጋይ” መልጎም, ኣይድዮግራፍ, 得
🈹 “ምጉዳል ዋጋ”, ናይ ጃፓን, ናይ ጃፓን “ምጉዳል ዋጋ” መልጎም, ኣይድዮግራፍ, 割
🈚 “ካብ ክፍሊት ነጻ”, ናይ ጃፓን, ናይ ጃፓን “ካብ ክፍሊት ነጻ” መልጎም, ኣይድዮግራፍ, 無
🈲 “ዝተኣገደ”, ናይ ጃፓን, ናይ ጃፓን “ዝተኣገደ” መልጎም, ናይ ጃፓን “ዝተኣገደ”መልጎም, ኣይድዮግራፍ, 禁
🉑 “ቅቡል”, ናይ ጃፓን, ናይ ጃፓን “ቅቡል” መልጎም, ኣይድዮግራፍ, 可
🈸 “ምልክታ”, ናይ ጃፓን, ናይ ጃፓን “ምልክታ” መልጎም, ናይ ጃፓን “ምልክታ”መልጎም, ኣይድዮግራፍ, 申
🈴 ““መሕለፊ ነጥቢ”, ናይ ጃፓን, ናይ ጃፓን “መሕለፊ ነጥቢ” መልጎም, ኣይድዮግራፍ, 合
🈳 “ክፉት ቦታ ስራሕ”, ናይ ጃፓን, ናይ ጃፓን “ክፉት ቦታ ስራሕ” መልጎም, ኣይድዮግራፍ, 空
㊗ “እንቃዕ ሓጎሰኩም”, ናይ ጃፓን, ናይ ጃፓን “እንቃዕ ሓጎሰኩም” መልጎም, ኣይድዮግራፍ, 祝
㊙ “ምስጢር”, ናይ ጃፓን, ናይ ጃፓን “ምስጢር” መልጎም, ኣይድዮግራፍ, 秘
🈺 “ን ቢዝነስ ክፉት”, ናይ ጃፓን, ናይ ጃፓን “ን ቢዝነስ ክፉት” መልጎም, ኣይድዮግራፍ, 営
🈵 ““ክፉት ቦታ ስራሕ የለን”, ናይ ጃፓን, ናይ ጃፓን “ክፉት ቦታ ስራሕ የለን” መልጎም, ኣይድዮግራፍ, 満
🔴 ቀይሕ, ዓንኬል, ጂኦሜትሪክ
🟠 ኣራንሾኒ, ዓንኬል
🟡 ቢጫ, ዓንኬል
🟢 ቀጠልያ, ዓንኬል
🔵 ሰማያዊ, ዓንኬል, ጂኦሜትሪክ
🟣 ሊላ, ዓንኬል
🟤 ቡናዊ, ዓንኬል
⚫ ዓንኬል, ጂኦሜትሪክ, ጸሊም ዓንኬል
⚪ ዓንኬል, ጂኦሜትሪክ, ጻዕዳ ዓንኬል
🟥 ቀይሕ, ትርብዒት
🟧 ትርብዒት, ኣራንሾኒ
🟨 ቢጫ, ትርብዒት
🟩 ቀጠልያ, ትርብዒት
🟦 ሰማያዊ, ትርብዒት
🟪 ሊላ, ትርብዒት
🟫 ቡናዊ, ትርብዒት
⬛ ትርብዒት, ጂኦሜትሪክ, ጸሊም ዓቢ ትርብዒት
⬜ ትርብዒት, ጂኦሜትሪክ, ጻዕዳ ዓቢ ትርብዒት
◼ ትርብዒት, ጂኦሜትሪክ, ጸሊም ማእከላይ ትርብዒት
◻ ትርብዒት, ጂኦሜትሪክ, ጻዕዳ ማእከላይ ትርብዒት
◾ ትርብዒት, ጂኦሜትሪክ, ጸሊም ማእከላይ-ንኢሽተይ ትርብዒት
◽ ትርብዒት, ጂኦሜትሪክ, ጻዕዳ ማእከላይ-ንኢሽተይ ትርብዒት
▪ ትርብዒት, ጂኦሜትሪክ, ጸሊም ንኢሽተይ ትርብዒት
▫ ትርብዒት, ጂኦሜትሪክ, ጻዕዳ ንኢሽተይ ትርብዒት
🔶 ኣልማዝ, ኣራንሾኒ, ዓቢ ኣራንሾኒ ኣልማዝ, ጂኦሜትሪክ
🔷 ሰማያዊ, ኣልማዝ, ዓቢ ሰማያዊ ኣልማዝ, ጂኦሜትሪክ
🔸 ንኢሽተይ ሰማያዊ ኣልማዝ, ኣልማዝ, ኣራንሾኒ, ጂኦሜትሪክ
