🏻 ئاچ تېرە رەڭ, تۈر 1–2, تېرە رەڭگى
🤷‍♂ ئەر, پەرۋاسىز, سوغۇق, قىسىش, قىسىلغان ئەر, گۇمان
🤷‍♀ ئايال, پەرۋاسىز, سوغۇق, قىسىش, قىسىلغان ئايال, گۇمان
👨‍⚕ ئەر, ئەمچى, دوختۇر, ساغلاملىق خىزمەتچىسى, ساغلاملىق خىزمەتچىسى ئەر, سىستېرا
👩‍⚕ ئايال, ئەمچى, دوختۇر, ساغلاملىق خىزمەتچىسى, ساغلاملىق خىزمەتچىسى ئايال, سىستېرا
👨‍🎓 ئوغۇل, ئوقۇش پۈتتۈرۈش, ئوقۇغۇچى
👩‍🎓 ئوقۇش پۈتتۈرۈش, ئوقۇغۇچى, قىز
👨‍🏫 ئەر, ئوقۇتقۇچى, پىروفېسسور, مۇئەللىم
👩‍🏫 ئايال, ئوقۇتقۇچى, پىروفېسسور, مۇئەللىم
👨‍⚖ ئەر, ئەر سوتچى, ئۆلچەم, سوت
👩‍⚖ ئايال, ئايال سوتچى, ئۆلچەم, سوت
👨‍🌾 ئەر, باغۋەن, تېرىقچى, دېھقان
👩‍🌾 ئايال, باغۋەن, تېرىقچى, دېھقان
👨‍🍳 ئاش, ئاشپەز, ئەر
👩‍🍳 ئاش, ئاشپەز, ئايال
👨‍🔧 ئەر, توكچى, تۇرۇبا ئىشچىسى, رېمونتچى, سودىگەر
👩‍🔧 ئايال, توكچى, تۇرۇبا ئىشچىسى, رېمونتچى, سودىگەر
👨‍🏭 ئەر, ئەر زاۋۇت ئىشچىسى, ئىشچى, زاۋۇت, سانائەت, قوراشتۇرۇش
👩‍🏭 ئايال, ئايال زاۋۇت ئىشچىسى, ئىشچى, زاۋۇت, سانائەت, قوراشتۇرۇش
👨‍💼 ئەر, ئىشخانا, ئىشخانا خىزمەتچىسى, ئىشخانا خىزمەتچىسى ئەر, باشقۇرغۇچى, سودا, لايىھەلىگۈچى
👩‍💼 ئايال, ئىشخانا, ئىشخانا خىزمەتچىسى, ئىشخانا خىزمەتچىسى ئايال, باشقۇرغۇچى, سودا, لايىھەلىگۈچى
👨‍🔬 ئالىم, ئەر, ئىنژىنېر, بىيولوگ, خىمىك, فىزىك, ماتېماتىك
👩‍🔬 ئالىم, ئايال, ئىنژىنېر, بىيولوگ, خىمىك, فىزىك, ماتېماتىك
👨‍💻 ئاچقۇچى, ئەر, ئىجادچى, پىروگراممېر, تېخنىك, يۇمشاق دېتال
👩‍💻 ئاچقۇچى, ئايال, ئىجادچى, پىروگراممېر, تېخنىك, يۇمشاق دېتال
👨‍🎤 ئەر, چولپان, داڭلىق, سەنئەتكار, كۆڭۈل ئېچىش, ناخشىچى
👩‍🎤 ئايال, چولپان, داڭلىق, سەنئەتكار, كۆڭۈل ئېچىش, ناخشىچى
👨‍🎨 ئەر, رەڭ تاختىسى, سەنئەتكار
👩‍🎨 ئايال, بوياق تاختىسى, سەنئەتكار
👨‍✈ ئايروپىلان, ئەر, ئۇچقۇچى
👩‍✈ ئايال, ئايروپىلان, ئۇچقۇچى
👨‍🚀 ئالەم ئۇچقۇچىسى, ئەر, ئەر ئالەم ئۇچقۇچىسى, راكىتا
👩‍🚀 ئالەم ئۇچقۇچىسى, ئالەم ئۇچقۇچىسى ئايال, ئايال, راكىتا
👨‍🚒 ئەر, ئوت ئۆچۈرگۈچى, ئوت ئۆچۈرگۈچى ئەر, ئوت ئۆچۈرۈش ماشىنىسى
👩‍🚒 ئايال, ئايال ئوت ئۆچۈرگۈچى, ئوت ئۆچۈرۈش, ئوت ئۆچۈرۈش ماشىنىسى
👮 ئوفىتسېر, ج خ, ساقچى
👮‍♂ ئەر, ئوفىتسېر, ج خ, ساقچى
👮‍♀ ئايال, ئوفىتسېر, ج خ, ساقچى
🕵 جاسۇس, چارلىغۇچى, رازۋېدچىك
🕵‍♂ ئەر, جاسۇس, چارلىغۇچى, رازۋېدچىك
🕵‍♀ ئايال, جاسۇس, چارلىغۇچى, رازۋېدچىك
💂 قاراۋۇل
💂‍♂ ئەر, قاراۋۇل
💂‍♀ ئايال, قاراۋۇل
👷 ئىشچى, قالپاق, قۇرۇلۇشچى
👷‍♂ ئەر, ئىشچى, قۇرۇلۇش, قۇرۇلۇش ئىشچىسى ئەر
👷‍♀ ئايال, ئىشچى, قۇرۇلۇش, قۇرۇلۇش ئىشچىسى ئايال
🤴 شاھزادە
👸 چۆچەك, فانتازىيە, مەلىكە
👳 سەللە, سەللىلىك كىشى
👳‍♂ ئەر, سەللە, سەللىلىك ئەر
👳‍♀ ئايال, سەللە, سەللىلىك ئايال
👲 تۇماق, جۇڭگوچە تۇماق كىيگەن ئەر, قالپاق, موزا
🧕 تىچەل, مانتىللا, ھىجاب, ياغلىق, ياغلىقلىق ئايال
🤵 ئەر, تاكسىدولۇق ئەر, مۇراسىم كىيىمى, يىگىت
👰 توي, چۈمبەل, چۈمبەللىك كېلىن, كېلىنچەك
🤰 ئايال, ھامىلدار
🤱 ئەمچەك, ئېمىش, بوۋاق, بېقىش
👼 بوۋاق پەرىشتە, بوۋاق چۆچەك, پەرىشتە, چىراي, فانتازىيە
🎅 بوۋاي, تەبرىكلەش, مىلاد, نورۇز
🤶 بايرام, تەبرىكلەش, مىلاد, مىلاد موماي
🧙 جادۇ, جادۇگەر, سھېرى, سېھرىگەر
🧙‍♂ ئەر سېھرىگەر, جادۇگەر, سېھرىگەر
🧙‍♀ ئايال سېھرىگەر, داخان, سېھرىگەر
🧚 ئەرۋاھ, ئوبېرون, تىتانىيە, مۇزتوپ
🧚‍♂ ئەر ئەرۋاھ, ئوبېرون, مۇزتوپ
🧚‍♀ ئايال ئەرۋاھ, تىتانىيە
🧛 دراكۇلا, قانخور مۇردا, مۇردا
🧛‍♂ ئەر مۇردا, دراكۇلا, مۇردا
🧛‍♀ ئايال مۇردا, مۇردا
🧜 بېلقىز, بېلىق ئادەم, سۇ پەرىسى, سۇپەرىسى
🧜‍♂ بېلىق ئەر, ترىتون
🧜‍♀ بېلىق قىز, سۇ پەرىسى
🧝 پىر, سېھرىي
🧝‍♂ ئەر پىر, سېھرىي
🧝‍♀ ئايال پىر, سېھرىي
🧞 جىن, شاياتۇن
🧞‍♂ ئەر جىن, جىن
🧞‍♀ ئايال جىن, جىن
🧟 تىرىك مۇردا, زومبى, مۇردا
🧟‍♂ ئەر زومبى, تىرىك مۇردا, مۇردا
🧟‍♀ ئايال زومبى, تىرىك مۇردا, مۇردا
💆 ئۇۋۇلاش, ئۇۋىلانغان كىشى, چىراي, سالون
💆‍♂ ئەر, ئۇۋىلاش, ئۇۋىلانغان ئەر, چىراي
💆‍♀ ئايال, ئۇۋىلاش, ئۇۋىلانغان ئايال, چىراي
💇 چاچ ياساتقان كىشى, چاچ ياساش, دۇكان, ساتراچ, گۈزەل
💇‍♂ ئەر, چاچ ياساتقان ئەر, چاچ ياساش
💇‍♀ ئايال, چاچ ياساتقان ئايال, چاچ ياساش
🚶 ماڭ, ماڭغان كىشى, مېڭىش, يۈرۈش
🚶‍♂ ئەر, ماڭغان ئەر, مېڭىش, يۈرۈش
🚶‍♀ ئايال, ماڭغان ئايال, مېڭىش, يۈرۈش
🏃 مارافون, يۈگۈرگەن كىشى, يۈگۈرۈش
🏃‍♂ ئەر, مارافون, مۇسابىقە, يۈگۈرگەن ئەر, يۈگۈرۈش
🏃‍♀ ئايال, مارافون, مۇسابىقە, يۈگۈرگەن ئايال, يۈگۈرۈش
💃 ئايال, ئۇسسۇل, ئۇسسۇل ئويناۋاتقان ئايال
🕺 ئەر, ئۇسسۇل ئويناۋاتقان ئەر, ئۇسۇل
🕴 سودا, كاستۇم, كاستۇملۇق ئەر, مەن
👯 ئۇزۇن قۇلاق, ئۇسسۇلچى, سورۇن, سورۇندىكى ئۇزۇن قۇلاق كىشىلەر
👯‍♂ ئەر, ئۇزۇن قۇلاق, ئۇسسۇلچى, سورۇن, سورۇندىكى ئۇزۇن قۇلاق ئۇسسۇلچى ئەر
👯‍♀ ئايال, ئۇزۇن قۇلاق, ئۇسسۇلچى, سورۇن, سورۇندىكى ئۇزۇن قۇلاق ئۇسسۇلچى ئايال
🧖 ھور ئۆيى, ھورداق, ھورداقتىكى كىشى
🧖‍♂ ھور ئۆيى, ھورداق, ھورداقتىكى ئەر
🧖‍♀ ھور ئۆيى, ھورداق, ھورداقتىكى ئايال
🧗 ياماشقان كىشى, ياماشقۇچى
🧗‍♂ ياماشقان ئەر, ياماشقۇچى
🧗‍♀ ياماشقان ئايال, ياماشقۇچى
🤺 شەمشەر, قىلىچ ئوينىتىش, قىلىچلىق كىشى, قىلىچۋاز
🏇 ئات, ئات بەيگىسى, بەيگە, كۆڭۈل ئېچىش
⛷ چاڭغا, چاڭغىچى, قار
🏂 چاڭغا, قار, قار تاختا, قار تېيىلىش
🏌 توپ, گولف, گولفچى
🏌‍♂ ئەر, گولف, گولفچى ئەر
🏌‍♀ ئايال, گولف, گولفچى ئايال
🏄 دولقۇن كەزگۈچى, كېزىش
🏄‍♂ ئەر, دولقۇن كەزگۈچى ئەر, كېزىش
🏄‍♀ ئايال, دولقۇن كەزگۈچى ئايال, كېزىش
🚣 ئۈزگۈچ, قېيىق, قېيىقچى
🚣‍♂ ئەر, ئۈزگۈچ, قېيىق, قېيىقچى ئەر
🚣‍♀ ئايال, ئۈزگۈچ, قېيىق, قېيىقچى ئايال
🏊 ئۈزۈش, ئۈزۈۋاتقان كىشى
