✝ Latin Cross
ꜽ Latin Small Letter Ay
Ꜽ Latin Capital Letter Ay
ẚ Latin Small Letter A With Right Half Ring
ᴀ Latin Letter Small Capital A
ⱥ Latin Small Letter A With Stroke
Ⱥ Latin Capital Letter A With Stroke
ᶏ Latin Small Letter A With Retroflex Hook
ꞻ Latin Small Letter Glottal A
Ꞻ Latin Capital Letter Glottal A
ᴁ Latin Letter Small Capital Ae
ᴂ Latin Small Letter Turned Ae
ꬱ Latin Small Letter A Reversed-Schwa
ɐ Latin Small Letter Turned A
Ɐ Latin Capital Letter Turned A
ɑ Latin Small Letter Alpha
Ɑ Latin Capital Letter Alpha
ꬰ Latin Small Letter Barred Alpha
ᶐ Latin Small Letter Alpha With Retroflex Hook
ɒ Latin Small Letter Turned Alpha
Ɒ Latin Capital Letter Turned Alpha
ꭤ Latin Small Letter Inverted Alpha
b Latin Small Letter B
B Latin Capital Letter B
ḃ Latin Small Letter B With Dot Above
Ḃ Latin Capital Letter B With Dot Above
ḅ Latin Small Letter B With Dot Below
Ḅ Latin Capital Letter B With Dot Below
ḇ Latin Small Letter B With Line Below
Ḇ Latin Capital Letter B With Line Below
ʙ Latin Letter Small Capital B
ƀ Latin Small Letter B With Stroke
Ƀ Latin Capital Letter B With Stroke
ᴃ Latin Letter Small Capital Barred B
ᵬ Latin Small Letter B With Middle Tilde
ꞗ Latin Small Letter B With Flourish
Ꞗ Latin Capital Letter B With Flourish
ᶀ Latin Small Letter B With Palatal Hook
ɓ Latin Small Letter B With Hook
Ɓ Latin Capital Letter B With Hook
ƃ Latin Small Letter B With Topbar
Ƃ Latin Capital Letter B With Topbar
ꞵ Latin Small Letter Beta
Ꞵ Latin Capital Letter Beta
c Latin Small Letter C
C Latin Capital Letter C
ć Latin Small Letter C With Acute
Ć Latin Capital Letter C With Acute
ĉ Latin Small Letter C With Circumflex
Ĉ Latin Capital Letter C With Circumflex
č Latin Small Letter C With Caron
Č Latin Capital Letter C With Caron
ċ Latin Small Letter C With Dot Above
Ċ Latin Capital Letter C With Dot Above
ç Latin Small Letter C With Cedilla
Ç Latin Capital Letter C With Cedilla
ḉ Latin Small Letter C With Cedilla And Acute
Ḉ Latin Capital Letter C With Cedilla And Acute
ᴄ Latin Letter Small Capital C
ȼ Latin Small Letter C With Stroke
Ȼ Latin Capital Letter C With Stroke
ꞓ Latin Small Letter C With Bar
Ꞓ Latin Capital Letter C With Bar
ꞔ Latin Small Letter C With Palatal Hook
Ꞔ Latin Capital Letter C With Palatal Hook
ƈ Latin Small Letter C With Hook
Ƈ Latin Capital Letter C With Hook
ɕ Latin Small Letter C With Curl
ↄ Latin Small Letter Reversed C
ꜿ Latin Small Letter Reversed C With Dot
Ꜿ Latin Capital Letter Reversed C With Dot
d Latin Small Letter D
D Latin Capital Letter D
ď Latin Small Letter D With Caron
Ď Latin Capital Letter D With Caron
ḋ Latin Small Letter D With Dot Above
Ḋ Latin Capital Letter D With Dot Above
ḑ Latin Small Letter D With Cedilla
Ḑ Latin Capital Letter D With Cedilla
đ Latin Small Letter D With Stroke
Đ Latin Capital Letter D With Stroke
ḍ Latin Small Letter D With Dot Below
Ḍ Latin Capital Letter D With Dot Below
ḓ Latin Small Letter D With Circumflex Below
Ḓ Latin Capital Letter D With Circumflex Below
ḏ Latin Small Letter D With Line Below
Ḏ Latin Capital Letter D With Line Below
ð Latin Small Letter Eth
Ð Latin Capital Letter Eth
ꝺ Latin Small Letter Insular D
Ꝺ Latin Capital Letter Insular D
ȸ Latin Small Letter Db Digraph
ǳ Latin Small Letter Dz
ʣ Latin Small Letter Dz Digraph
ǲ Latin Capital Letter D With Small Letter Z
Ǳ Latin Capital Letter Dz
ǆ Latin Small Letter Dz With Caron
ǅ Latin Capital Letter D With Small Letter Z With Caron
Ǆ Latin Capital Letter Dz With Caron
ꭦ Latin Small Letter Dz Digraph With Retroflex Hook
ʥ Latin Small Letter Dz Digraph With Curl
ʤ Latin Small Letter Dezh Digraph
ᴅ Latin Letter Small Capital D
ᴆ Latin Letter Small Capital Eth
ᵭ Latin Small Letter D With Middle Tilde
ᶁ Latin Small Letter D With Palatal Hook
ɖ Latin Small Letter D With Tail
Ɖ Latin Capital Letter African D
ɗ Latin Small Letter D With Hook
Ɗ Latin Capital Letter D With Hook
ᶑ Latin Small Letter D With Hook And Tail
ƌ Latin Small Letter D With Topbar
Ƌ Latin Capital Letter D With Topbar
ȡ Latin Small Letter D With Curl
ꝱ Latin Small Letter Dum
ẟ Latin Small Letter Delta
e Latin Small Letter E
E Latin Capital Letter E
ₑ Latin Subscript Small Letter E
é Latin Small Letter E With Acute
É Latin Capital Letter E With Acute
è Latin Small Letter E With Grave
È Latin Capital Letter E With Grave
ĕ Latin Small Letter E With Breve
Ĕ Latin Capital Letter E With Breve
ê Latin Small Letter E With Circumflex
Ê Latin Capital Letter E With Circumflex
ế Latin Small Letter E With Circumflex And Acute
Ế Latin Capital Letter E With Circumflex And Acute
ề Latin Small Letter E With Circumflex And Grave
Ề Latin Capital Letter E With Circumflex And Grave
ễ Latin Small Letter E With Circumflex And Tilde
Ễ Latin Capital Letter E With Circumflex And Tilde
ể Latin Small Letter E With Circumflex And Hook Above
Ể Latin Capital Letter E With Circumflex And Hook Above
ě Latin Small Letter E With Caron
Ě Latin Capital Letter E With Caron
ë Latin Small Letter E With Diaeresis
Ë Latin Capital Letter E With Diaeresis
ẽ Latin Small Letter E With Tilde
Ẽ Latin Capital Letter E With Tilde
ė Latin Small Letter E With Dot Above
Ė Latin Capital Letter E With Dot Above
ȩ Latin Small Letter E With Cedilla
Ȩ Latin Capital Letter E With Cedilla
ḝ Latin Small Letter E With Cedilla And Breve
Ḝ Latin Capital Letter E With Cedilla And Breve
ę Latin Small Letter E With Ogonek
Ę Latin Capital Letter E With Ogonek
ē Latin Small Letter E With Macron
Ē Latin Capital Letter E With Macron
ḗ Latin Small Letter E With Macron And Acute
Ḗ Latin Capital Letter E With Macron And Acute
ḕ Latin Small Letter E With Macron And Grave
Ḕ Latin Capital Letter E With Macron And Grave
ẻ Latin Small Letter E With Hook Above
Ẻ Latin Capital Letter E With Hook Above
ȅ Latin Small Letter E With Double Grave
Ȅ Latin Capital Letter E With Double Grave
ȇ Latin Small Letter E With Inverted Breve
Ȇ Latin Capital Letter E With Inverted Breve
ẹ Latin Small Letter E With Dot Below
Ẹ Latin Capital Letter E With Dot Below
ệ Latin Small Letter E With Circumflex And Dot Below
Ệ Latin Capital Letter E With Circumflex And Dot Below
ḙ Latin Small Letter E With Circumflex Below
Ḙ Latin Capital Letter E With Circumflex Below
ḛ Latin Small Letter E With Tilde Below
Ḛ Latin Capital Letter E With Tilde Below
ᴇ Latin Letter Small Capital E
ꬲ Latin Small Letter Blackletter E
ꬳ Latin Small Letter Barred E
ɇ Latin Small Letter E With Stroke
Ɇ Latin Capital Letter E With Stroke
ᶒ Latin Small Letter E With Retroflex Hook
ꬴ Latin Small Letter E With Flourish
ⱸ Latin Small Letter E With Notch
ǝ Latin Small Letter Turned E
Ǝ Latin Capital Letter Reversed E
ⱻ Latin Letter Small Capital Turned E
ə Latin Small Letter Schwa
Ə Latin Capital Letter Schwa
ₔ Latin Subscript Small Letter Schwa
ᶕ Latin Small Letter Schwa With Retroflex Hook
ɛ Latin Small Letter Open E
Ɛ Latin Capital Letter Open E
ᶓ Latin Small Letter Open E With Retroflex Hook
ɘ Latin Small Letter Reversed E
ɚ Latin Small Letter Schwa With Hook
ɜ Latin Small Letter Reversed Open E
Ɜ Latin Capital Letter Reversed Open E
ᶔ Latin Small Letter Reversed Open E With Retroflex Hook
ᴈ Latin Small Letter Turned Open E
ɝ Latin Small Letter Reversed Open E With Hook
ɞ Latin Small Letter Closed Reversed Open E
ʚ Latin Small Letter Closed Open E
ɤ Latin Small Letter Rams Horn
f Latin Small Letter F
F Latin Capital Letter F
ḟ Latin Small Letter F With Dot Above
Ḟ Latin Capital Letter F With Dot Above
ꝼ Latin Small Letter Insular F
Ꝼ Latin Capital Letter Insular F
ﬀ Latin Small Ligature Ff
ﬃ Latin Small Ligature Ffi
ﬄ Latin Small Ligature Ffl
ﬁ Latin Small Ligature Fi
ﬂ Latin Small Ligature Fl
ʩ Latin Small Letter Feng Digraph
ꜰ Latin Letter Small Capital F
ꬵ Latin Small Letter Lenis F
ꞙ Latin Small Letter F With Stroke
Ꞙ Latin Capital Letter F With Stroke
ᵮ Latin Small Letter F With Middle Tilde
ᶂ Latin Small Letter F With Palatal Hook
ƒ Latin Small Letter F With Hook
Ƒ Latin Capital Letter F With Hook
ꟻ Latin Epigraphic Letter Reversed F
g Latin Small Letter G
G Latin Capital Letter G
ǵ Latin Small Letter G With Acute
Ǵ Latin Capital Letter G With Acute
ğ Latin Small Letter G With Breve
Ğ Latin Capital Letter G With Breve
ĝ Latin Small Letter G With Circumflex
Ĝ Latin Capital Letter G With Circumflex
ǧ Latin Small Letter G With Caron
Ǧ Latin Capital Letter G With Caron
ġ Latin Small Letter G With Dot Above
Ġ Latin Capital Letter G With Dot Above
ģ Latin Small Letter G With Cedilla
Ģ Latin Capital Letter G With Cedilla
ḡ Latin Small Letter G With Macron
Ḡ Latin Capital Letter G With Macron
ꞡ Latin Small Letter G With Oblique Stroke
Ꞡ Latin Capital Letter G With Oblique Stroke
ᵹ Latin Small Letter Insular G
Ᵹ Latin Capital Letter Insular G
ɡ Latin Small Letter Script G
Ɡ Latin Capital Letter Script G
ꬶ Latin Small Letter Script G With Crossed-Tail
ɢ Latin Letter Small Capital G
ǥ Latin Small Letter G With Stroke
Ǥ Latin Capital Letter G With Stroke
ᶃ Latin Small Letter G With Palatal Hook
ɠ Latin Small Letter G With Hook
Ɠ Latin Capital Letter G With Hook
ʛ Latin Letter Small Capital G With Hook
ᵷ Latin Small Letter Turned G
ꝿ Latin Small Letter Turned Insular G
Ꝿ Latin Capital Letter Turned Insular G
ɣ Latin Small Letter Gamma
Ɣ Latin Capital Letter Gamma
ƣ Latin Small Letter Oi
Ƣ Latin Capital Letter Oi
h Latin Small Letter H
H Latin Capital Letter H
ₕ Latin Subscript Small Letter H
ĥ Latin Small Letter H With Circumflex
Ĥ Latin Capital Letter H With Circumflex
ȟ Latin Small Letter H With Caron
Ȟ Latin Capital Letter H With Caron
ḧ Latin Small Letter H With Diaeresis
Ḧ Latin Capital Letter H With Diaeresis
ḣ Latin Small Letter H With Dot Above
Ḣ Latin Capital Letter H With Dot Above
ḩ Latin Small Letter H With Cedilla
Ḩ Latin Capital Letter H With Cedilla
ħ Latin Small Letter H With Stroke
Ħ Latin Capital Letter H With Stroke
ḥ Latin Small Letter H With Dot Below
Ḥ Latin Capital Letter H With Dot Below
ḫ Latin Small Letter H With Breve Below
Ḫ Latin Capital Letter H With Breve Below
ẖ Latin Small Letter H With Line Below
ʜ Latin Letter Small Capital H
ƕ Latin Small Letter Hv
Ƕ Latin Capital Letter Hwair
ꞕ Latin Small Letter H With Palatal Hook
ɦ Latin Small Letter H With Hook
Ɦ Latin Capital Letter H With Hook
ⱨ Latin Small Letter H With Descender
Ⱨ Latin Capital Letter H With Descender
ⱶ Latin Small Letter Half H
Ⱶ Latin Capital Letter Half H
ꜧ Latin Small Letter Heng
Ꜧ Latin Capital Letter Heng
ɧ Latin Small Letter Heng With Hook
i Latin Small Letter I
I Latin Capital Letter I
ᵢ Latin Subscript Small Letter I
í Latin Small Letter I With Acute
Í Latin Capital Letter I With Acute
ì Latin Small Letter I With Grave
Ì Latin Capital Letter I With Grave
ĭ Latin Small Letter I With Breve
Ĭ Latin Capital Letter I With Breve
î Latin Small Letter I With Circumflex
Î Latin Capital Letter I With Circumflex
ǐ Latin Small Letter I With Caron
Ǐ Latin Capital Letter I With Caron
ï Latin Small Letter I With Diaeresis
Ï Latin Capital Letter I With Diaeresis
ḯ Latin Small Letter I With Diaeresis And Acute
Ḯ Latin Capital Letter I With Diaeresis And Acute
ĩ Latin Small Letter I With Tilde
Ĩ Latin Capital Letter I With Tilde
İ Latin Capital Letter I With Dot Above
į Latin Small Letter I With Ogonek
Į Latin Capital Letter I With Ogonek
ī Latin Small Letter I With Macron
Ī Latin Capital Letter I With Macron
ỉ Latin Small Letter I With Hook Above
Ỉ Latin Capital Letter I With Hook Above
ȉ Latin Small Letter I With Double Grave
Ȉ Latin Capital Letter I With Double Grave
ȋ Latin Small Letter I With Inverted Breve
Ȋ Latin Capital Letter I With Inverted Breve
ị Latin Small Letter I With Dot Below
Ị Latin Capital Letter I With Dot Below
ḭ Latin Small Letter I With Tilde Below
Ḭ Latin Capital Letter I With Tilde Below
ĳ Latin Small Ligature Ij
Ĳ Latin Capital Ligature Ij
ı Latin Small Letter Dotless I
ɪ Latin Letter Small Capital I
Ɪ Latin Capital Letter Small Capital I
ꟾ Latin Epigraphic Letter I Longa
ꟷ Latin Epigraphic Letter Sideways I
ᴉ Latin Small Letter Turned I
ɨ Latin Small Letter I With Stroke
Ɨ Latin Capital Letter I With Stroke
ᵻ Latin Small Capital Letter I With Stroke
ᶖ Latin Small Letter I With Retroflex Hook
ꞽ Latin Small Letter Glottal I
Ꞽ Latin Capital Letter Glottal I
ɩ Latin Small Letter Iota
Ɩ Latin Capital Letter Iota
ᵼ Latin Small Letter Iota With Stroke
j Latin Small Letter J
J Latin Capital Letter J
ⱼ Latin Subscript Small Letter J
ĵ Latin Small Letter J With Circumflex
Ĵ Latin Capital Letter J With Circumflex
ǰ Latin Small Letter J With Caron
ȷ Latin Small Letter Dotless J
ᴊ Latin Letter Small Capital J
ɉ Latin Small Letter J With Stroke
Ɉ Latin Capital Letter J With Stroke
ʝ Latin Small Letter J With Crossed-Tail
Ʝ Latin Capital Letter J With Crossed-Tail
ɟ Latin Small Letter Dotless J With Stroke
ʄ Latin Small Letter Dotless J With Stroke And Hook
k Latin Small Letter K
K Latin Capital Letter K
ₖ Latin Subscript Small Letter K
ḱ Latin Small Letter K With Acute
Ḱ Latin Capital Letter K With Acute
ǩ Latin Small Letter K With Caron
Ǩ Latin Capital Letter K With Caron
ķ Latin Small Letter K With Cedilla
Ķ Latin Capital Letter K With Cedilla
ꞣ Latin Small Letter K With Oblique Stroke
Ꞣ Latin Capital Letter K With Oblique Stroke
ḳ Latin Small Letter K With Dot Below
Ḳ Latin Capital Letter K With Dot Below
ḵ Latin Small Letter K With Line Below
Ḵ Latin Capital Letter K With Line Below
ᴋ Latin Letter Small Capital K
ᶄ Latin Small Letter K With Palatal Hook
ƙ Latin Small Letter K With Hook
Ƙ Latin Capital Letter K With Hook
ⱪ Latin Small Letter K With Descender
Ⱪ Latin Capital Letter K With Descender
ꝁ Latin Small Letter K With Stroke
Ꝁ Latin Capital Letter K With Stroke
ꝃ Latin Small Letter K With Diagonal Stroke
Ꝃ Latin Capital Letter K With Diagonal Stroke
ꝅ Latin Small Letter K With Stroke And Diagonal Stroke
Ꝅ Latin Capital Letter K With Stroke And Diagonal Stroke
ʞ Latin Small Letter Turned K
Ʞ Latin Capital Letter Turned K
l Latin Small Letter L
L Latin Capital Letter L
ₗ Latin Subscript Small Letter L
ĺ Latin Small Letter L With Acute
Ĺ Latin Capital Letter L With Acute
ľ Latin Small Letter L With Caron
Ľ Latin Capital Letter L With Caron
ļ Latin Small Letter L With Cedilla
Ļ Latin Capital Letter L With Cedilla
ł Latin Small Letter L With Stroke
Ł Latin Capital Letter L With Stroke
ḷ Latin Small Letter L With Dot Below
Ḷ Latin Capital Letter L With Dot Below
ḹ Latin Small Letter L With Dot Below And Macron
Ḹ Latin Capital Letter L With Dot Below And Macron
ḽ Latin Small Letter L With Circumflex Below
Ḽ Latin Capital Letter L With Circumflex Below
ḻ Latin Small Letter L With Line Below
Ḻ Latin Capital Letter L With Line Below
ŀ Latin Small Letter L With Middle Dot
l· Latin Small Letter L With Middle Dot
l· Latin Small Letter L With Middle Dot
Ŀ Latin Capital Letter L With Middle Dot
L· Latin Capital Letter L With Middle Dot
L· Latin Capital Letter L With Middle Dot
ǉ Latin Small Letter Lj
ǈ Latin Capital Letter L With Small Letter J
Ǉ Latin Capital Letter Lj
ỻ Latin Small Letter Middle-Welsh Ll
Ỻ Latin Capital Letter Middle-Welsh Ll
ʪ Latin Small Letter Ls Digraph
ʫ Latin Small Letter Lz Digraph
ʟ Latin Letter Small Capital L
ꝇ Latin Small Letter Broken L
Ꝇ Latin Capital Letter Broken L
ᴌ Latin Letter Small Capital L With Stroke
ꝉ Latin Small Letter L With High Stroke
Ꝉ Latin Capital Letter L With High Stroke
ƚ Latin Small Letter L With Bar
Ƚ Latin Capital Letter L With Bar
ⱡ Latin Small Letter L With Double Bar
Ⱡ Latin Capital Letter L With Double Bar
ɫ Latin Small Letter L With Middle Tilde
Ɫ Latin Capital Letter L With Middle Tilde
ꬸ Latin Small Letter L With Double Middle Tilde
ꬹ Latin Small Letter L With Middle Ring
ɬ Latin Small Letter L With Belt
Ɬ Latin Capital Letter L With Belt
ꬷ Latin Small Letter L With Inverted Lazy S
ᶅ Latin Small Letter L With Palatal Hook
ɭ Latin Small Letter L With Retroflex Hook
ꞎ Latin Small Letter L With Retroflex Hook And Belt
ȴ Latin Small Letter L With Curl
ꝲ Latin Small Letter Lum
ɮ Latin Small Letter Lezh
ꞁ Latin Small Letter Turned L
Ꞁ Latin Capital Letter Turned L
ƛ Latin Small Letter Lambda With Stroke
ʎ Latin Small Letter Turned Y
m Latin Small Letter M
M Latin Capital Letter M
ₘ Latin Subscript Small Letter M
ḿ Latin Small Letter M With Acute
Ḿ Latin Capital Letter M With Acute
ṁ Latin Small Letter M With Dot Above
Ṁ Latin Capital Letter M With Dot Above
ṃ Latin Small Letter M With Dot Below
Ṃ Latin Capital Letter M With Dot Below
ᴍ Latin Letter Small Capital M
ᵯ Latin Small Letter M With Middle Tilde
ᶆ Latin Small Letter M With Palatal Hook
ɱ Latin Small Letter M With Hook
Ɱ Latin Capital Letter M With Hook
ꬺ Latin Small Letter M With Crossed-Tail
ꟽ Latin Epigraphic Letter Inverted M
ꟿ Latin Epigraphic Letter Archaic M
ꝳ Latin Small Letter Mum
n Latin Small Letter N
N Latin Capital Letter N
ₙ Latin Subscript Small Letter N
ń Latin Small Letter N With Acute
Ń Latin Capital Letter N With Acute
ǹ Latin Small Letter N With Grave
Ǹ Latin Capital Letter N With Grave
ň Latin Small Letter N With Caron
Ň Latin Capital Letter N With Caron
ñ Latin Small Letter N With Tilde
Ñ Latin Capital Letter N With Tilde
ṅ Latin Small Letter N With Dot Above
Ṅ Latin Capital Letter N With Dot Above
ņ Latin Small Letter N With Cedilla
Ņ Latin Capital Letter N With Cedilla
ꞥ Latin Small Letter N With Oblique Stroke
Ꞥ Latin Capital Letter N With Oblique Stroke
ṇ Latin Small Letter N With Dot Below
Ṇ Latin Capital Letter N With Dot Below
ṋ Latin Small Letter N With Circumflex Below
Ṋ Latin Capital Letter N With Circumflex Below
ṉ Latin Small Letter N With Line Below
Ṉ Latin Capital Letter N With Line Below
ǌ Latin Small Letter Nj
ǋ Latin Capital Letter N With Small Letter J
Ǌ Latin Capital Letter Nj
ɴ Latin Letter Small Capital N
ᴎ Latin Letter Small Capital Reversed N
ᵰ Latin Small Letter N With Middle Tilde
ɲ Latin Small Letter N With Left Hook
Ɲ Latin Capital Letter N With Left Hook
ƞ Latin Small Letter N With Long Right Leg
Ƞ Latin Capital Letter N With Long Right Leg
ꞑ Latin Small Letter N With Descender
Ꞑ Latin Capital Letter N With Descender
ᶇ Latin Small Letter N With Palatal Hook
ɳ Latin Small Letter N With Retroflex Hook
ȵ Latin Small Letter N With Curl
ꬻ Latin Small Letter N With Crossed-Tail
ꝴ Latin Small Letter Num
ŋ Latin Small Letter Eng
Ŋ Latin Capital Letter Eng
ꬼ Latin Small Letter Eng With Crossed-Tail
o Latin Small Letter O
O Latin Capital Letter O
ₒ Latin Subscript Small Letter O
ó Latin Small Letter O With Acute
Ó Latin Capital Letter O With Acute
ò Latin Small Letter O With Grave
Ò Latin Capital Letter O With Grave
ŏ Latin Small Letter O With Breve
Ŏ Latin Capital Letter O With Breve
ô Latin Small Letter O With Circumflex
Ô Latin Capital Letter O With Circumflex
ố Latin Small Letter O With Circumflex And Acute
Ố Latin Capital Letter O With Circumflex And Acute
ồ Latin Small Letter O With Circumflex And Grave
Ồ Latin Capital Letter O With Circumflex And Grave
ỗ Latin Small Letter O With Circumflex And Tilde
Ỗ Latin Capital Letter O With Circumflex And Tilde
ổ Latin Small Letter O With Circumflex And Hook Above
Ổ Latin Capital Letter O With Circumflex And Hook Above
ǒ Latin Small Letter O With Caron
Ǒ Latin Capital Letter O With Caron
ö Latin Small Letter O With Diaeresis
ꞝ Latin Small Letter Volapuk Oe
Ö Latin Capital Letter O With Diaeresis
Ꞝ Latin Capital Letter Volapuk Oe
ȫ Latin Small Letter O With Diaeresis And Macron
Ȫ Latin Capital Letter O With Diaeresis And Macron
ő Latin Small Letter O With Double Acute
Ő Latin Capital Letter O With Double Acute
õ Latin Small Letter O With Tilde
Õ Latin Capital Letter O With Tilde
ṍ Latin Small Letter O With Tilde And Acute
Ṍ Latin Capital Letter O With Tilde And Acute
ṏ Latin Small Letter O With Tilde And Diaeresis
Ṏ Latin Capital Letter O With Tilde And Diaeresis
ȭ Latin Small Letter O With Tilde And Macron
Ȭ Latin Capital Letter O With Tilde And Macron
ȯ Latin Small Letter O With Dot Above
Ȯ Latin Capital Letter O With Dot Above
ȱ Latin Small Letter O With Dot Above And Macron
Ȱ Latin Capital Letter O With Dot Above And Macron
ø Latin Small Letter O With Stroke
Ø Latin Capital Letter O With Stroke
ǿ Latin Small Letter O With Stroke And Acute
Ǿ Latin Capital Letter O With Stroke And Acute
ǫ Latin Small Letter O With Ogonek
Ǫ Latin Capital Letter O With Ogonek
ǭ Latin Small Letter O With Ogonek And Macron
Ǭ Latin Capital Letter O With Ogonek And Macron
ō Latin Small Letter O With Macron
Ō Latin Capital Letter O With Macron
ṓ Latin Small Letter O With Macron And Acute
Ṓ Latin Capital Letter O With Macron And Acute
ṑ Latin Small Letter O With Macron And Grave
Ṑ Latin Capital Letter O With Macron And Grave
ỏ Latin Small Letter O With Hook Above
Ỏ Latin Capital Letter O With Hook Above
ȍ Latin Small Letter O With Double Grave
Ȍ Latin Capital Letter O With Double Grave
ȏ Latin Small Letter O With Inverted Breve
Ȏ Latin Capital Letter O With Inverted Breve
ơ Latin Small Letter O With Horn
Ơ Latin Capital Letter O With Horn
ớ Latin Small Letter O With Horn And Acute
Ớ Latin Capital Letter O With Horn And Acute
ờ Latin Small Letter O With Horn And Grave
Ờ Latin Capital Letter O With Horn And Grave
ỡ Latin Small Letter O With Horn And Tilde
Ỡ Latin Capital Letter O With Horn And Tilde
ở Latin Small Letter O With Horn And Hook Above
Ở Latin Capital Letter O With Horn And Hook Above
ợ Latin Small Letter O With Horn And Dot Below
Ợ Latin Capital Letter O With Horn And Dot Below
ọ Latin Small Letter O With Dot Below
Ọ Latin Capital Letter O With Dot Below
ộ Latin Small Letter O With Circumflex And Dot Below
Ộ Latin Capital Letter O With Circumflex And Dot Below
œ Latin Small Ligature Oe
Œ Latin Capital Ligature Oe
ꝏ Latin Small Letter Oo
Ꝏ Latin Capital Letter Oo
ᴏ Latin Letter Small Capital O
ᴑ Latin Small Letter Sideways O
ꬽ Latin Small Letter Blackletter O
ɶ Latin Letter Small Capital Oe
ᴔ Latin Small Letter Turned Oe
ꭁ Latin Small Letter Turned Oe With Stroke
ꭂ Latin Small Letter Turned Oe With Horizontal Stroke
ꭀ Latin Small Letter Inverted Oe
ꭃ Latin Small Letter Turned O Open-O
ꭄ Latin Small Letter Turned O Open-O With Stroke
ᴓ Latin Small Letter Sideways O With Stroke
ꬾ Latin Small Letter Blackletter O With Stroke
ɔ Latin Small Letter Open O
Ɔ Latin Capital Letter Open O
ᴐ Latin Letter Small Capital Open O
ᴒ Latin Small Letter Sideways Open O
ꬿ Latin Small Letter Open O With Stroke
ᶗ Latin Small Letter Open O With Retroflex Hook
ꭢ Latin Small Letter Open Oe
ꝍ Latin Small Letter O With Loop
Ꝍ Latin Capital Letter O With Loop
ᴖ Latin Small Letter Top Half O
ᴗ Latin Small Letter Bottom Half O
ⱺ Latin Small Letter O With Low Ring Inside
ɵ Latin Small Letter Barred O
Ɵ Latin Capital Letter O With Middle Tilde
ꝋ Latin Small Letter O With Long Stroke Overlay
Ꝋ Latin Capital Letter O With Long Stroke Overlay
ɷ Latin Small Letter Closed Omega
ꞷ Latin Small Letter Omega
